"Taxa";"Prevalence";"Taxonomic level";"Null_model";"chGLM.fit";"hGLM.fit";"ada2020.fit";"rf2020.fit";"ada2021.fit";"rf2021.fit";"ada2022.fit";"rf2022.fit";"ada2023.fit";"rf2023.fit";"ada2024.fit";"rf2024.fit";"ANN.fit";"expl.pow_chGLM.fit";"expl.pow_hGLM.fit";"expl.pow_ada2020.fit";"expl.pow_rf2020.fit";"expl.pow_ada2021.fit";"expl.pow_rf2021.fit";"expl.pow_ada2022.fit";"expl.pow_rf2022.fit";"expl.pow_ada2023.fit";"expl.pow_rf2023.fit";"expl.pow_ada2024.fit";"expl.pow_rf2024.fit";"expl.pow_ANN.fit";"chGLM.pred";"hGLM.pred";"ada2020.pred";"rf2020.pred";"ada2021.pred";"rf2021.pred";"ada2022.pred";"rf2022.pred";"ada2023.pred";"rf2023.pred";"ada2024.pred";"rf2024.pred";"ANN.pred";"expl.pow_chGLM.pred";"expl.pow_hGLM.pred";"expl.pow_ada2020.pred";"expl.pow_rf2020.pred";"expl.pow_ada2021.pred";"expl.pow_rf2021.pred";"expl.pow_ada2022.pred";"expl.pow_rf2022.pred";"expl.pow_ada2023.pred";"expl.pow_rf2023.pred";"expl.pow_ada2024.pred";"expl.pow_rf2024.pred";"expl.pow_ANN.pred";"chGLM.likelihood.ratio";"hGLM.likelihood.ratio";"ada2020.likelihood.ratio";"rf2020.likelihood.ratio";"ada2021.likelihood.ratio";"rf2021.likelihood.ratio";"ada2022.likelihood.ratio";"rf2022.likelihood.ratio";"ada2023.likelihood.ratio";"rf2023.likelihood.ratio";"ada2024.likelihood.ratio";"rf2024.likelihood.ratio";"ANN.likelihood.ratio";"Big.model.diff";"Big.pred.expl.pow.diff";"chGLM.model.diff";"chGLM.pred.expl.pow.diff"
"Occurrence.Simuliidae";0.923019709929342;"family";0.542663038656323;0.491946594140437;0.493227476702145;0.475008419030396;0.138445120885355;0.444579114807645;0.138308965399084;0.442856989356704;0.1389621583711;0.440131698752367;0.137700898155852;0.442928319747363;0.138656405052226;0.46392998829415;0.0934584464080393;0.0910980819268327;0.124671508480558;0.744878292746533;0.1807455397949;0.745129195197174;0.183919010859385;0.743925514597086;0.18894107871771;0.746249719721449;0.183787565771774;0.744488945855701;0.145086443619088;0.484452677220513;0.50995962824384;0.488286639182372;0.564441696583407;0.47822985577764;0.571011344038234;0.478840034103618;0.540447440587392;0.479647584852643;0.536845124177982;0.483928782428333;0.55262753334028;0.505617856892125;0.107267967945529;0.0602646727027127;0.100202880241469;-0.0401329303374139;0.118735160290675;-0.052239241228044;0.11761074553877;0.00408282472013676;0.116122619958993;0.0107210443017217;0.108233382493528;-0.0183622137019505;0.0682655333518295;1.00375398708473;0.991668822452848;0.993382880123282;0.808157520902991;0.983315385531321;0.805452385922495;0.982169358788032;0.818122955679843;0.98043596592588;0.819081152274947;0.979708469828259;0.813031386706856;0.979371798989405;"ada2021-rf2021";0.170974401518719;"ada2021-chGLM";0.0114671923451459
"Occurrence.Limoniidae";0.865005578281889;"family";0.791543597715128;0.744889247357629;0.74412405633696;0.730615516009979;0.210538599594674;0.701113653710503;0.210613172860799;0.698638849360569;0.210807240119634;0.727659255025117;0.210231797705356;0.67356440872158;0.210239147013829;0.70196514747093;0.0589409736774733;0.0599076810362058;0.0769737534117196;0.734015156963665;0.114245057714648;0.733920944507978;0.117371612407375;0.733675768803954;0.080708558409695;0.734402756446755;0.149049514561304;0.734393471666367;0.113169319419393;0.776545409798135;0.73805027276356;0.725473791152668;0.745158955119579;0.711704053671123;0.738532715263269;0.718366779991588;0.746409035912796;0.722960003468485;0.764998216427204;0.704087797997847;0.753559599974846;0.676785016804207;0.0189480250491413;0.0675810215709942;0.0834695735688823;0.0586002372193311;0.100865630490184;0.0669715257692445;0.0924482466092487;0.0570209422862086;0.0866453780241752;0.0335362213332919;0.110487659769761;0.0479872465015534;0.144980745523284;0.984296524567565;1.00304150781417;1.00257416992924;0.765435613534285;0.994718794878351;0.768004434931125;0.990184524026999;0.765060091013112;1.00235238831218;0.757764059183946;0.984854174819809;0.762113162974979;1.01266965386345;"ANN-chGLM";0.126032720474143;"ANN-chGLM";0.126032720474143
"Occurrence.Limnephilidae";0.822238750464857;"family";0.935963459055595;0.825536703837281;0.826917527714532;0.68666313062358;0.22823117106488;0.704106417505846;0.227844338592834;0.695539151308287;0.227906830282289;0.701505128692644;0.228559867563012;0.725899147951363;0.229905955560366;0.754668911931875;0.117981908534908;0.116506611755007;0.266356903167528;0.756153759148707;0.2477201853411;0.756567057839273;0.25687360486263;0.75650029060723;0.250499448557023;0.75580257396626;0.224436444683632;0.754364389618003;0.19369831735381;1.10355051779561;1.09754497677356;1.09474326202072;1.16371296216249;1.0966020281226;1.16578985509858;1.1009760487118;1.16822395849978;1.13502565440749;1.16069304536281;1.10978978577574;1.16558411368372;1.225862871116;-0.179052993061414;-0.172636566261892;-0.169643164408727;-0.243331618241481;-0.171629103158677;-0.245550607579149;-0.176302384521195;-0.248151246928525;-0.212681588608977;-0.240105085442084;-0.185719137898329;-0.245330789793675;-0.309733685920725;0.870222017832147;0.873441848567122;0.815429699772237;0.62641580975673;0.821808560919644;0.625644626576872;0.816508097980898;0.624903173211736;0.805122964048896;0.627465500418796;0.825351998402896;0.626354309071234;0.790099035811052;"ada2020-ANN";0.140090521511998;"ada2020-chGLM";0.00940982865268714
"Occurrence.Rhyacophilidae";0.805875790256601;"family";0.984296306063927;0.91143558629516;0.90942378924945;0.822425474123312;0.268286007118135;0.843705628880643;0.269099055552272;0.822287621263728;0.268744259232318;0.817968587455692;0.268322514912455;0.825999212512488;0.26719584967628;0.846751848501999;0.0740231567668153;0.0760670504940549;0.164453357127709;0.72743369505167;0.14283369379439;0.726607675052277;0.164593409324119;0.726968131875866;0.168981350009692;0.727396604803444;0.160822602478768;0.72854124512083;0.139738874071315;0.827111126607067;0.837980996461332;0.785278769973664;0.819277796532869;0.795610312490943;0.796139014499398;0.79142857134696;0.803227722234805;0.797397355250506;0.801532773458377;0.805034465228866;0.803482835090093;0.761670504466385;0.159692948646148;0.148649658340882;0.202192708500663;0.167651253504085;0.191696334132874;0.191159197088675;0.195944791755056;0.183957394448823;0.189880780474333;0.185679384835241;0.182121826253626;0.183698211463257;0.226177625808425;1.04306368108387;1.03636707066283;1.01874690962849;0.759195548807545;1.02433913488143;0.768342271211779;1.01554917466592;0.76548800653326;1.01033869487844;0.765975473048615;1.010537506192;0.764798030289229;1.04345849507313;"ANN-hGLM";0.0775279674675429;"ANN-chGLM";0.0664846771622772
"Occurrence.Elmidae";0.764968389735961;"family";1.09056995358128;0.793352607113937;0.786229869376898;0.68263020190555;0.209049853925623;0.683978872942569;0.20948796890648;0.682095898416964;0.208002856046058;0.681002907514116;0.208656262635184;0.688062720340615;0.207993943529216;0.714759309893394;0.272533958496951;0.279065165150544;0.37406105893172;0.808311375864398;0.372824392698077;0.80790964557702;0.374550989437168;0.809271422375974;0.375553209330775;0.80867228007705;0.369079701782436;0.809279594723665;0.344600217944549;0.361308591268166;0.352559311203034;0.352723713306248;0.423156128727367;0.34308837684714;0.458299688311116;0.34458611133534;0.453048802797995;0.352778371346311;0.442716089420471;0.34810712694392;0.445299336447565;0.33159500644221;0.668697464035499;0.67672013148237;0.67656938269026;0.611986257884896;0.685404521075897;0.579761310307401;0.684031170853582;0.584576118835618;0.676519263906147;0.594050718189464;0.68080256951809;0.591682005372269;0.695943386892975;1.24112969338669;1.24213947893624;1.17933797664925;0.898477928939934;1.18583272349967;0.883021385349745;1.18382993899586;0.884685580495569;1.17834659838176;0.88955858305024;1.18527853393137;0.888116193104503;1.21116432829263;"ANN-rf2021";0.116182076585574;"ANN-chGLM";0.027245922857476
"Occurrence.Gammaridae";0.732986240238007;"family";1.16053196633123;0.675260856597769;0.66918710931221;0.518480861017075;0.155768918411265;0.564871862506819;0.155312001737425;0.546743930919061;0.154279363662751;0.52033968667692;0.154847956902087;0.513391407488747;0.155506588843108;0.558731967076712;0.41814540556564;0.423378994524641;0.553238621546859;0.865778002734647;0.513264710585665;0.866171715865432;0.528885074447822;0.867061513048649;0.551636920160105;0.866571571146286;0.557624070354803;0.866004045252879;0.518555297668343;0.527558317205155;0.510766176999595;0.463437262783645;0.405822585182316;0.470532764290036;0.417423825353025;0.462846366230489;0.408911682642416;0.458974823624671;0.402487884974343;0.455702231381229;0.416067122156395;0.428463851471122;0.545416815296424;0.559886162710132;0.60066824850271;0.650313307210972;0.594554240692289;0.640316822402903;0.601177408586446;0.647651512835876;0.604513415450657;0.653186731041351;0.607333322474664;0.641485858014148;0.630803921045263;1.07664666360229;1.08243211342467;1.02790402226278;0.882473222522693;1.04829973229776;0.877168728930566;1.04284106550827;0.880455264301582;1.03115798861624;0.883538895341201;1.02926462202653;0.877849364533636;1.06730209496788;"rf2023-chGLM";0.107769915744928;"rf2023-chGLM";0.107769915744928
"Occurrence.Heptageniidae";0.7244328746746;"family";1.17743548541178;0.958196992549157;0.956292502286271;0.807739227155536;0.25318659530668;0.862115985294395;0.253993262187145;0.791320116231882;0.25271362242052;0.86517401867964;0.253086552366572;0.838103395759691;0.251475188910252;0.857805702908306;0.186200004653294;0.187817494771846;0.313984301336862;0.784967755394145;0.267801933969327;0.784282650443208;0.327929108612576;0.785369452890119;0.265204735716741;0.785052722206636;0.288195908698487;0.786421258722041;0.271462671597412;1.05613698292671;1.07221301852703;1.00711325687569;0.973440768662377;1.01158289773272;0.983643239504238;1.0076732171877;0.970159307065209;1.0237815770536;0.961641450283218;1.02276949900956;0.959669192530984;1.17736814995011;0.103019234589022;0.0893658023632206;0.144655253426927;0.173253413267109;0.140859172102376;0.164588419755136;0.144179677211537;0.176040369867131;0.130498791876017;0.183274614874629;0.131358353233366;0.184949660154536;5.71882387713476e-05;0.952209700142176;0.94368745060463;0.905120663025277;0.697587666338392;0.927990803544014;0.694318153796966;0.897469133838034;0.698567937990701;0.923759262979818;0.701680259888769;0.911801422024201;0.701806887514897;0.852330238378677;"rf2024-ANN";0.184892471915765;"rf2024-chGLM";0.0819304255655148
"Occurrence.Nemouridae";0.707698029007066;"family";1.2083999653351;0.793604688051822;0.798539168341345;0.68622760035535;0.210632781746788;0.708264652363401;0.210038421499102;0.684343209075342;0.210063455858197;0.688394276121496;0.209415892040802;0.633223083687088;0.209880101149507;0.697687552015105;0.343259921534551;0.339176438887186;0.432118818238256;0.825692827053022;0.413882263587296;0.826184684273095;0.433678228478296;0.826163967325219;0.430325806132744;0.826699852657867;0.47598220634549;0.826315700785952;0.422635243272597;1.04222702668388;1.03475363023873;1.12125468208657;1.10993580023337;1.11702950598514;1.11795117575891;1.08603903635422;1.11801078579778;1.12112790312745;1.11463707673268;1.08591752053474;1.12417890779263;1.18266654145343;0.137514848906129;0.143699387684292;0.0721162576534548;0.0814830916305363;0.0756127623064177;0.0748500431735031;0.10125863330934;0.0748007134477652;0.0722211723859641;0.0775925945814012;0.10135919258025;0.0696963422364206;0.0212954523501118;0.883105002944656;0.888600762002938;0.804516710993406;0.637850397861963;0.81515057613649;0.635110437981776;0.818036834338577;0.635099458389119;0.805439801485009;0.635965735339346;0.797441167324893;0.633085747883176;0.78467199073505;"hGLM-ANN";0.12240393533418;"hGLM-chGLM";0.00618453877816236
"Occurrence.Empididae";0.688359985124582;"family";1.24081318179951;1.21827325920084;1.21992328396218;1.09524686047086;0.383597297646886;1.10655320593577;0.383844940772002;1.1285849631325;0.382555421114217;1.13722427293214;0.38167523116168;1.13442495072445;0.383149394640244;1.13134887962425;0.0181654441855468;0.0168356511227874;0.117315260237282;0.690850078582687;0.108203215305169;0.690650497268797;0.0904473133532113;0.691689750942677;0.083484694059381;0.692399116353561;0.0857407324773669;0.691211053960134;0.0882198092193947;1.2487717268501;1.25568394320412;1.16728535330424;1.16118538074733;1.18428097680675;1.17153357147427;1.1863011005278;1.18001398188736;1.20229602109287;1.17574264238826;1.19390523509737;1.16449916122382;1.14434015155953;-0.00641397526019212;-0.0119846900586873;0.059257775121825;0.0641738838853293;0.045560609624389;0.0558340379852934;0.0439325452624985;0.0489994793768861;0.0310418693737448;0.0524418505265086;0.0378041975941275;0.0615032316670125;0.077749843131157;0.984866446980474;0.982278574974359;0.964621727792737;0.677873869488938;0.961881626334975;0.674459050987725;0.971554348655339;0.671172376287105;0.967987723539032;0.672311364583891;0.970697744171049;0.676600094279983;0.993525415071049;"ANN-hGLM";0.0897345331898444;"ANN-chGLM";0.0841638183913491
"Occurrence.Hydropsychidae";0.686872443287467;"family";1.24316052010929;1.0136965139849;1.01746420993483;0.877492980013524;0.257169069860443;0.878410251557078;0.255713961281507;0.864789019504364;0.254868225323862;0.850155247228583;0.256593727627925;0.851127841531752;0.256205180657839;0.925895343890979;0.184581156184253;0.181550416477685;0.294143462715193;0.793132853158952;0.293405608247716;0.794303344463492;0.304362545692541;0.794983655609128;0.316133971859207;0.793595659227204;0.315351615689239;0.793908206934278;0.255208535893997;0.517072074427109;0.57027008835902;0.524976301268127;0.589268617931158;0.51511476843628;0.59251723286804;0.523676488626092;0.592454060410518;0.531800272816657;0.594197362328263;0.5299267359545;0.597736681171132;0.49699759293134;0.584066525550818;0.54127397135417;0.577708354813283;0.525991528528148;0.585640985131192;0.523378338288969;0.578753925856612;0.52342915429905;0.572219142890811;0.522026839883859;0.573726218471037;0.519179807030405;0.600214465556188;1.28186009179634;1.25056701540583;1.19274615214535;0.847004074329431;1.19919169407474;0.845014378500115;1.18596437886318;0.844683804473277;1.17254604013374;0.844676286984028;1.17421583788159;0.843019027334754;1.23917876693515;"ANN-rf2024";0.0810346585257836;"ANN-chGLM";0.01614794000537
