Taxa;Prevalence;Taxonomic level;Null_model;iGLM.fit;chGLM.fit;hGLM.fit;GAM.fit;SVM.fit;RF.fit;ANN.fit;expl.pow_iGLM.fit;expl.pow_chGLM.fit;expl.pow_hGLM.fit;expl.pow_GAM.fit;expl.pow_SVM.fit;expl.pow_RF.fit;expl.pow_ANN.fit;iGLM.pred;chGLM.pred;hGLM.pred;GAM.pred;SVM.pred;RF.pred;ANN.pred;expl.pow_iGLM.pred;expl.pow_chGLM.pred;expl.pow_hGLM.pred;expl.pow_GAM.pred;expl.pow_SVM.pred;expl.pow_RF.pred;expl.pow_ANN.pred;iGLM.likelihood.ratio;chGLM.likelihood.ratio;hGLM.likelihood.ratio;GAM.likelihood.ratio;SVM.likelihood.ratio;RF.likelihood.ratio;ANN.likelihood.ratio;Big.model.diff;Big.pred.expl.pow.diff;chGLM.model.diff;chGLM.pred.expl.pow.diff
Occurrence.Gammaridae;0.733;family;1.161;0.629;0.635;0.639;0.551;0.557;0.143;0.511;0.458;0.453;0.449;0.525;0.520;0.877;0.559;0.646;0.648;0.655;0.599;0.634;0.566;0.637;0.443;0.441;0.436;0.484;0.453;0.513;0.451;0.991;0.993;0.992;0.976;0.962;0.810;0.939;RF-hGLM;0.077133188;NA;NA
Occurrence.Elmidae;0.765;family;1.091;0.693;0.700;0.698;0.645;0.642;0.182;0.597;0.365;0.358;0.360;0.409;0.412;0.833;0.453;0.704;0.709;0.706;0.673;0.720;0.677;0.713;0.355;0.349;0.352;0.383;0.340;0.379;0.347;0.994;0.995;0.996;0.986;0.962;0.781;0.944;GAM-SVM;0.043206934;NA;NA
Occurrence.Blephariceridae;0.122;family;0.743;0.446;0.455;0.455;0.408;0.529;0.134;0.423;0.400;0.387;0.388;0.450;0.289;0.820;0.431;0.470;0.476;0.469;0.461;0.577;0.469;0.498;0.367;0.360;0.369;0.380;0.224;0.369;0.330;0.988;0.990;0.993;0.974;0.976;0.846;0.963;GAM-SVM;0.155779811;NA;NA
Occurrence.Nemouridae;0.708;family;1.208;0.832;0.842;0.839;0.779;0.776;0.234;0.709;0.311;0.303;0.306;0.355;0.358;0.807;0.413;0.850;0.852;0.856;0.852;0.895;0.805;0.869;0.297;0.295;0.292;0.295;0.259;0.334;0.281;0.991;0.995;0.992;0.964;0.942;0.751;0.923;RF-SVM;0.074492477;NA;NA
Occurrence.Leuctridae;0.681;family;1.253;0.878;0.883;0.885;0.828;0.833;0.220;0.740;0.299;0.295;0.294;0.339;0.335;0.825;0.409;0.896;0.909;0.905;0.885;0.924;0.838;0.906;0.285;0.275;0.278;0.294;0.262;0.332;0.277;0.991;0.987;0.990;0.972;0.956;0.734;0.920;RF-SVM;0.069148869;NA;NA
Occurrence.Capniidae;0.106;family;0.676;0.471;0.482;0.485;0.407;0.444;0.115;0.383;0.303;0.286;0.283;0.398;0.343;0.830;0.434;0.509;0.499;0.510;0.470;0.578;0.463;0.461;0.247;0.262;0.246;0.305;0.144;0.315;0.318;0.981;0.992;0.988;0.969;0.935;0.840;0.962;ANN-SVM;0.173484147;NA;NA
Occurrence.Hydropsychidae;0.687;family;1.243;0.907;0.912;0.914;0.838;0.840;0.222;0.802;0.271;0.266;0.265;0.326;0.325;0.821;0.355;0.927;0.925;0.921;0.899;0.944;0.868;0.909;0.254;0.256;0.259;0.277;0.240;0.302;0.268;0.990;0.994;0.997;0.970;0.949;0.724;0.948;RF-SVM;0.061401328;NA;NA
Occurrence.Perlodidae;0.444;family;1.374;1.034;1.042;1.040;0.981;0.970;0.274;0.904;0.247;0.242;0.243;0.286;0.294;0.800;0.342;1.060;1.065;1.056;1.036;1.049;1.005;1.045;0.228;0.225;0.231;0.246;0.236;0.268;0.239;0.987;0.989;0.992;0.973;0.961;0.694;0.932;RF-chGLM;0.043230245;NA;NA
Occurrence.Caenidae;0.076;family;0.537;0.411;0.421;0.419;0.360;0.346;0.085;0.324;0.235;0.216;0.219;0.331;0.356;0.841;0.397;0.427;0.431;0.423;0.422;0.456;0.394;0.442;0.204;0.197;0.212;0.215;0.151;0.267;0.178;0.992;0.995;0.998;0.969;0.946;0.857;0.943;RF-SVM;0.115694121;NA;NA
Occurrence.Gyrinidae;0.083;family;0.572;0.441;0.450;0.447;0.407;0.427;0.106;0.368;0.229;0.213;0.217;0.288;0.253;0.814;0.357;0.456;0.462;0.455;0.452;0.530;0.420;0.461;0.203;0.192;0.204;0.209;0.073;0.266;0.194;0.993;0.994;0.996;0.978;0.950;0.855;0.955;RF-SVM;0.193221871;NA;NA
Occurrence.Philopotamidae;0.095;family;0.627;0.443;0.449;0.451;0.408;0.491;0.123;0.406;0.294;0.284;0.281;0.349;0.218;0.804;0.353;0.461;0.458;0.462;0.469;0.532;0.467;0.457;0.266;0.270;0.264;0.252;0.151;0.255;0.271;0.991;0.996;0.995;0.970;0.979;0.842;0.975;ANN-SVM;0.12039262;NA;NA
