"Taxa";"Prevalence";"Taxonomic level";"Null_model";"iGLM.fit";"chGLM.fit";"hGLM.fit";"GAM.fit";"SVM.fit";"RF.fit";"BCT.fit";"ANN.fit";"expl.pow_iGLM.fit";"expl.pow_chGLM.fit";"expl.pow_hGLM.fit";"expl.pow_GAM.fit";"expl.pow_SVM.fit";"expl.pow_RF.fit";"expl.pow_BCT.fit";"expl.pow_ANN.fit";"iGLM.pred";"chGLM.pred";"hGLM.pred";"GAM.pred";"SVM.pred";"RF.pred";"BCT.pred";"ANN.pred";"expl.pow_iGLM.pred";"expl.pow_chGLM.pred";"expl.pow_hGLM.pred";"expl.pow_GAM.pred";"expl.pow_SVM.pred";"expl.pow_RF.pred";"expl.pow_BCT.pred";"expl.pow_ANN.pred";"iGLM.likelihood.ratio";"chGLM.likelihood.ratio";"hGLM.likelihood.ratio";"GAM.likelihood.ratio";"SVM.likelihood.ratio";"RF.likelihood.ratio";"BCT.likelihood.ratio";"ANN.likelihood.ratio";"Big.model.diff";"Big.pred.expl.pow.diff";"chGLM.model.diff";"chGLM.pred.expl.pow.diff"
"Occurrence.Simuliidae";0.923019709929342;"family";0.542663038656323;0.483610896705437;0.489830103205254;0.491240731588868;0.450880348774297;0.475729983618827;0.136774316406191;0.444932721202247;0.443216224813844;0.10881917091148;0.0973586400538484;0.0947591846217887;0.169133851661037;0.123341835116001;0.747957191363438;0.180093926603265;0.183257024633034;0.498510369909206;0.502660123304774;0.508199543758387;0.501768271675549;0.532062239074859;0.512691361903765;0.488858318772638;0.514568688547798;0.0813629556500522;0.0737159388090992;0.0635080933156435;0.0753594110297842;0.0195347735635579;0.0552307318124532;0.09914940958004;0.0517712615513474;0.992577943905686;0.993605522198888;0.991556442682041;0.97487700812841;0.97222683954857;0.82864907660582;0.978276627453241;0.964952663835037;"BCT-SVM";0.0796146360164821;NA;NA
"Occurrence.Limoniidae";0.865005578281889;"family";0.791543597715128;0.736893403070764;0.742468347524496;0.744566113297687;0.694639032562258;0.716066451069407;0.203275713348868;0.686253353288586;0.674793403487038;0.0690425578605123;0.0619994278676416;0.0593492064783885;0.122424798119264;0.0953543770218011;0.743190755461046;0.133018882005329;0.147496858751813;0.756326227994482;0.757697565344945;0.766226765748136;0.751357588242982;0.775948550742834;0.767497323655964;0.749782871378345;0.764424421936434;0.0444920151237471;0.0427595301988214;0.0319841282780529;0.0507691674699251;0.0197020694972595;0.0303789634943374;0.0527585927766078;0.0342611270648603;0.990330639358762;0.992414308778688;0.989228110604276;0.972039071959535;0.970502743157413;0.75419011175189;0.968734441292465;0.95617387082028;"BCT-SVM";0.0330565232793483;NA;NA
"Occurrence.Limnephilidae";0.822238750464857;"family";0.935963459055595;0.871827277496481;0.876961607180415;0.879003039423296;0.825989952112407;0.819080544714552;0.253710537625474;0.732095517792424;0.786822599906328;0.0685242366446966;0.0630386275279531;0.060857525025361;0.117497650019536;0.124879783724655;0.728931150921776;0.217816132981172;0.159344745466616;0.884812073538372;0.894395434807347;0.892737346625317;0.872184783665901;0.904264067143602;0.867104063092516;0.877128344709684;0.881948694497615;0.0546510496989224;0.0444120161380989;0.0461835470306655;0.0681422706972428;0.0338681938972043;0.0735706028871673;0.0628604821872819;0.0577103347736264;0.99352863205859;0.991320968328051;0.993156371417505;0.977167287626213;0.9583025264826;0.735873711410556;0.930050481189903;0.95355035246644;"RF-SVM";0.0397024089899631;NA;NA
"Occurrence.Rhyacophilidae";0.805875790256601;"family";0.984296306063927;0.887852541870223;0.894019733916608;0.892414560044247;0.844622657639684;0.849700544706351;0.254552225378725;0.816914993554781;0.795270626218912;0.0979824506091773;0.0917168657356066;0.0933476489280987;0.141902034543622;0.136743133676694;0.741386588763453;0.170051753194607;0.192041439839294;0.903712027985843;0.906709769992805;0.900487067666701;0.891748603306547;0.920455483048191;0.893228076766731;0.886197111984654;0.89438346184993;0.0818699385354091;0.0788243698499498;0.0851463506272503;0.0940242304956583;0.0648593544671802;0.0925211531691773;0.099664291611089;0.0913473348015969;0.992101614414363;0.99367506908202;0.995971880912904;0.976712466380733;0.965240998764168;0.726629960879542;0.965952073634753;0.951651466525028;"BCT-SVM";0.0348049371439088;NA;NA
"Occurrence.Elmidae";0.764968389735961;"family";1.09056995358128;0.692519765421532;0.699869252225543;0.698323937722327;0.644556796921852;0.641553960967804;0.182283310844444;0.607350951706128;0.596801759114443;0.36499280660778;0.35825368200612;0.359670660805271;0.408972533302227;0.411725988909716;0.832855003710811;0.443088497247084;0.452761597589747;0.703773847893564;0.709448977586845;0.706352163185151;0.672558836997615;0.719679021040045;0.676939686611584;0.684829369588138;0.712621451397127;0.354673356273507;0.349469536312536;0.352309165619694;0.383296014355589;0.34008908032289;0.379278986745775;0.372044528331948;0.346560530980175;0.994388760906857;0.995221590418045;0.99599393304994;0.986096538406524;0.961690572719971;0.780884374683067;0.962001557840421;0.943735024955758;"GAM-SVM";0.0432069340326987;NA;NA
"Occurrence.Gammaridae";0.732986240238007;"family";1.16053196633123;0.628704228189783;0.635248502765139;0.639236766696033;0.550696433232078;0.557288853491448;0.143015534812477;0.460628161939042;0.51141399157727;0.458262032904364;0.452623002903282;0.44918642033029;0.525479306724325;0.519798790848308;0.876767259359008;0.603088777127599;0.559327957855402;0.645963064229601;0.648484370029869;0.65504079044662;0.598862317496747;0.634497392253411;0.565525260666461;0.613457074677;0.636677549148452;0.443390545913464;0.441218002740665;0.435568506986164;0.483976025761772;0.45327021515897;0.512701694504593;0.471400105749511;0.451391631062806;0.991407708537491;0.993403916662578;0.992129126946783;0.97620473789741;0.962131378666163;0.809567711789637;0.926432161270206;0.93928927625729;"RF-hGLM";0.0771331875184296;NA;NA
"Occurrence.Heptageniidae";0.7244328746746;"family";1.17743548541178;0.966323564680579;0.972256968698549;0.970954942397515;0.916635247836464;0.869650584635153;0.250853930508493;0.785725468510795;0.82598743011913;0.179298079042839;0.174258818640479;0.175364634047918;0.221498537122916;0.261402772882278;0.78694889561549;0.332680662129014;0.298486039912194;0.980733499271927;0.984368079621765;0.990036506517435;0.968586388030505;0.987160029141621;0.920192560281924;0.973493666595709;0.988695910356518;0.167059672123832;0.16397281055488;0.159158596132178;0.177376255403275;0.161601598242658;0.21847729945042;0.173208486870727;0.16029716905403;0.992820926256473;0.99396274246104;0.990504586801747;0.974358892811211;0.942938022508791;0.715574677125049;0.91038827099871;0.921867071296287;"RF-hGLM";0.0593187033182414;NA;NA
"Occurrence.Nemouridae";0.707698029007066;"family";1.2083999653351;0.832113981882308;0.841848440253413;0.839133174134078;0.779457015847334;0.775824097659209;0.233559722371564;0.677854505194768;0.709011741097455;0.311391918443533;0.303336259183061;0.305583252063918;0.35496769430047;0.357974081500355;0.806719853466071;0.439047894207122;0.413264017348066;0.849759715377809;0.851871686392425;0.855804460745922;0.852088539573834;0.895097652583639;0.805080945753098;0.837680157741219;0.869267978169222;0.296789358031668;0.295041616327596;0.291787085984734;0.294862161521546;0.259270375487459;0.333762852657945;0.306785682082572;0.280645479058614;0.99121594052674;0.995000914160688;0.99169900183872;0.964335744951623;0.942106665819441;0.751442480962239;0.923196821386399;0.922998085647745;"RF-SVM";0.0744924771704855;NA;NA
"Occurrence.Empididae";0.688359985124582;"family";1.24081318179951;1.21487916383489;1.21726287224401;1.21936537465448;1.163053393448;1.12948677853653;0.376386468415453;1.03394496837024;1.09561262020768;0.0209008240281695;0.0189797383691182;0.0172852831188754;0.0626684093077947;0.0897205194915272;0.696661452395605;0.166719870858611;0.117020486018095;1.23875064991524;1.24438653680187;1.23857794999757;1.21376947636967;1.21672662403724;1.1913782547284;1.2215148312059;1.2131302384589;0.00166224208005329;-0.00287984932362941;0.00180142493224281;0.0217951467848113;0.019411913183697;0.0398407494345117;0.0155529864420253;0.0223103233804017;0.988135205386183;0.986529715051313;0.990439705318086;0.97496077314949;0.957317743030168;0.665314183733666;0.910478556517658;0.942934168849306;"RF-chGLM";0.0427205987581411;NA;NA
"Occurrence.Hydropsychidae";0.686872443287467;"family";1.24316052010929;0.906592036953914;0.912060603213393;0.913934837435523;0.837651603512699;0.839582523837738;0.22220946746622;0.742682024496081;0.802197651801878;0.270736142043658;0.266337219964796;0.264829583427267;0.32619191973772;0.324638684822514;0.821254404502256;0.402585577258528;0.354711126338412;0.926916136487839;0.924885797587488;0.920620174225698;0.898974696026481;0.944452331905119;0.868120625168693;0.888824558607007;0.909444898058292;0.25438740895154;0.256020616302891;0.259451889491501;0.276863541365158;0.240281269693081;0.301682597600209;0.285028325602822;0.268441296721409;0.989889409403043;0.993607919635496;0.996662912101264;0.969803751246019;0.948916089655139;0.724006014832498;0.929534582472543;0.947788765149102;"RF-SVM";0.0614013279071278;NA;NA
