"Variable";"N";"Mean";"Std. Dev.";"Min";"Pctl. 25";"Pctl. 75";"Max"
"Prevalence";"59";"0.306";"0.256";"0.052";"0.1";"0.442";"0.923"
"Taxonomic level";"59";"";"";"";"";"";""
"... family";"57";"96.6%";"";"";"";"";""
"... group";"1";"1.7%";"";"";"";"";""
"... phylum";"1";"1.7%";"";"";"";"";""
"Null_model";"59";"0.925";"0.309";"0.411";"0.622";"1.194";"1.385"
"iGLM.fit";"59";"0.755";"0.302";"0.229";"0.482";"1.019";"1.333"
"chGLM.fit";"59";"0.761";"0.302";"0.235";"0.486";"1.024";"1.337"
"hGLM.fit";"59";"0.76";"0.302";"0.235";"0.488";"1.025";"1.34"
"GAM.fit";"59";"0.718";"0.296";"0.213";"0.451";"0.963";"1.296"
"SVM.fit";"59";"0.73";"0.277";"0.208";"0.492";"0.949";"1.228"
"BCT.fit";"59";"0.678";"0.271";"0.171";"0.443";"0.881";"1.209"
"RF.fit";"59";"0.209";"0.1";"0.044";"0.125";"0.281";"0.44"
"ANN.fit";"59";"0.69";"0.28";"0.198";"0.438";"0.909";"1.235"
"expl.pow_iGLM.fit";"59";"0.194";"0.141";"-0.017";"0.077";"0.278";"0.587"
"expl.pow_chGLM.fit";"59";"0.187";"0.14";"-0.024";"0.066";"0.27";"0.578"
"expl.pow_hGLM.fit";"59";"0.187";"0.14";"-0.03";"0.072";"0.274";"0.576"
"expl.pow_GAM.fit";"59";"0.237";"0.141";"0.037";"0.126";"0.329";"0.612"
"expl.pow_SVM.fit";"59";"0.215";"0.139";"-0.012";"0.103";"0.331";"0.582"
"expl.pow_BCT.fit";"59";"0.275";"0.134";"0.08";"0.161";"0.369";"0.623"
"expl.pow_RF.fit";"59";"0.781";"0.057";"0.671";"0.746";"0.822";"0.917"
"expl.pow_ANN.fit";"59";"0.263";"0.14";"0.046";"0.147";"0.351";"0.638"
"iGLM.pred";"59";"0.893";"0.383";"0.041";"0.554";"1.215";"1.531"
"chGLM.pred";"59";"0.889";"0.373";"0.039";"0.558";"1.223";"1.359"
"hGLM.pred";"59";"0.895";"0.379";"0.044";"0.573";"1.244";"1.449"
"GAM.pred";"59";"1.563";"0.962";"0.221";"1.049";"1.879";"5.164"
"SVM.pred";"59";"0.947";"0.406";"0.178";"0.606";"1.249";"1.815"
"BCT.pred";"59";"0.866";"0.373";"0.04";"0.539";"1.194";"1.407"
"RF.pred";"59";"0.856";"0.346";"0.042";"0.582";"1.148";"1.34"
"ANN.pred";"59";"0.88";"0.382";"0.03";"0.55";"1.199";"1.453"
"expl.pow_iGLM.pred";"59";"-0.008";"0.477";"-1.395";"-0.251";"0.234";"0.934"
"expl.pow_chGLM.pred";"59";"-0.008";"0.481";"-1.501";"-0.258";"0.245";"0.937"
"expl.pow_hGLM.pred";"59";"-0.017";"0.501";"-1.828";"-0.277";"0.232";"0.93"
"expl.pow_GAM.pred";"59";"-0.883";"1.518";"-7.37";"-1.082";"-0.068";"0.61"
"expl.pow_SVM.pred";"59";"-0.092";"0.576";"-1.955";"-0.261";"0.256";"0.739"
"expl.pow_BCT.pred";"59";"0.017";"0.483";"-1.499";"-0.178";"0.267";"0.937"
"expl.pow_RF.pred";"59";"0.026";"0.438";"-1.138";"-0.209";"0.29";"0.933"
"expl.pow_ANN.pred";"59";"0.002";"0.482";"-1.264";"-0.256";"0.305";"0.952"
"iGLM.likelihood.ratio";"59";"0.95";"0.175";"0.597";"0.832";"1.059";"1.298"
"chGLM.likelihood.ratio";"59";"0.954";"0.173";"0.587";"0.843";"1.055";"1.298"
"hGLM.likelihood.ratio";"59";"0.951";"0.176";"0.595";"0.835";"1.07";"1.304"
"GAM.likelihood.ratio";"59";"0.716";"0.251";"0.098";"0.577";"0.923";"1.254"
"SVM.likelihood.ratio";"59";"0.917";"0.184";"0.494";"0.81";"1.029";"1.244"
"BCT.likelihood.ratio";"59";"0.925";"0.163";"0.566";"0.817";"1.029";"1.261"
"RF.likelihood.ratio";"59";"0.733";"0.124";"0.57";"0.632";"0.808";"1.062"
"ANN.likelihood.ratio";"59";"0.926";"0.173";"0.597";"0.796";"1.046";"1.282"
"Big.pred.expl.pow.diff";"59";"1.006";"1.565";"0.089";"0.223";"1.163";"8.298"
"chGLM.pred.expl.pow.diff";"59";"0.08";"0.083";"0";"0.028";"0.105";"0.47"
