"Taxa";"Prevalence";"Taxonomic level";"Null_model";"iGLM.fit";"chGLM.fit";"hGLM.fit";"GAM.fit";"SVM.fit";"BCT.fit";"RF.fit";"ANN.fit";"expl.pow_iGLM.fit";"expl.pow_chGLM.fit";"expl.pow_hGLM.fit";"expl.pow_GAM.fit";"expl.pow_SVM.fit";"expl.pow_BCT.fit";"expl.pow_RF.fit";"expl.pow_ANN.fit";"iGLM.pred";"chGLM.pred";"hGLM.pred";"GAM.pred";"SVM.pred";"BCT.pred";"RF.pred";"ANN.pred";"expl.pow_iGLM.pred";"expl.pow_chGLM.pred";"expl.pow_hGLM.pred";"expl.pow_GAM.pred";"expl.pow_SVM.pred";"expl.pow_BCT.pred";"expl.pow_RF.pred";"expl.pow_ANN.pred";"iGLM.likelihood.ratio";"chGLM.likelihood.ratio";"hGLM.likelihood.ratio";"GAM.likelihood.ratio";"SVM.likelihood.ratio";"BCT.likelihood.ratio";"RF.likelihood.ratio";"ANN.likelihood.ratio";"Big.model.diff";"Big.pred.expl.pow.diff";"chGLM.model.diff";"chGLM.pred.expl.pow.diff"
"Occurrence.Simuliidae";0.923019709929342;"family";0.542663038656323;0.488675317297361;0.491946594140437;0.493227476702145;0.45836217221995;0.451768463866299;0.444579114807645;0.138308965399084;0.46392998829415;0.0994866381403823;0.0934584464080393;0.0910980819268327;0.155346615544535;0.167497264997237;0.1807455397949;0.745129195197174;0.145086443619088;0.482383875046197;0.484452677220513;0.50995962824384;0.63258556424675;0.504151884106838;0.47822985577764;0.571011344038234;0.505617856892125;0.111080282451855;0.107267967945529;0.0602646727027127;-0.165706007567943;0.0709669754638925;0.118735160290675;-0.052239241228044;0.0682655333518295;1.00315067409848;1.00375398708473;0.991668822452848;0.916574712174013;0.97414831761515;0.983315385531321;0.805452385922495;0.979371798989405;"BCT-GAM";0.284441167858618;NA;NA
"Occurrence.Limoniidae";0.865005578281889;"family";0.791543597715128;0.739910316465816;0.744889247357629;0.74412405633696;0.711530635444387;0.731641431203736;0.701113653710503;0.210613172860799;0.70196514747093;0.0652311273799159;0.0589409736774733;0.0599076810362058;0.101084719150919;0.0756776590503744;0.114245057714648;0.733920944507978;0.113169319419393;0.768728626930748;0.776545409798135;0.73805027276356;1.08903578096399;0.740240202594748;0.711704053671123;0.738532715263269;0.676785016804207;0.0288233912196849;0.0189480250491413;0.0675810215709942;-0.375838025988214;0.0648143643236743;0.100865630490184;0.0669715257692445;0.144980745523284;0.98569415982196;0.984296524567565;1.00304150781417;0.827991348966292;0.99570984343191;0.994718794878351;0.768004434931125;1.01266965386345;"ANN-GAM";0.520818771511498;NA;NA
"Occurrence.Limnephilidae";0.822238750464857;"family";0.935963459055595;0.821222155158834;0.825536703837281;0.826917527714532;0.784819835326131;0.776827470719931;0.704106417505846;0.227844338592834;0.754668911931875;0.122591649050634;0.117981908534908;0.116506611755007;0.16148453475093;0.17002371919117;0.2477201853411;0.756567057839273;0.19369831735381;1.10471493512076;1.10355051779561;1.09754497677356;1.34731237989888;1.14634995850152;1.0966020281226;1.16578985509858;1.225862871116;-0.180297077233591;-0.179052993061414;-0.172636566261892;-0.439492500335801;-0.22478067643603;-0.171629103158677;-0.245550607579149;-0.309733685920725;0.867841321833497;0.870222017832147;0.873441848567122;0.75484241582012;0.831302738767502;0.821808560919644;0.625644626576872;0.790099035811052;"BCT-GAM";0.267863397177124;NA;NA
"Occurrence.Rhyacophilidae";0.805875790256601;"family";0.984296306063927;0.906809964519606;0.91143558629516;0.90942378924945;0.872375096945822;0.886287573814058;0.843705628880643;0.269099055552272;0.846751848501999;0.0787225767961875;0.0740231567668153;0.0760670504940549;0.11370682631703;0.0995723865324588;0.14283369379439;0.726607675052277;0.139738874071315;0.829683600559439;0.827111126607067;0.837980996461332;1.33722814054717;0.831346430787378;0.795610312490943;0.796139014499398;0.761670504466385;0.157079432841483;0.159692948646148;0.148649658340882;-0.358562591679905;0.155390073430404;0.191696334132874;0.191159197088675;0.226177625808425;1.03931639235117;1.04306368108387;1.03636707066283;0.792607986614796;1.02785136655194;1.02433913488143;0.768342271211779;1.04345849507313;"ANN-GAM";0.584740217488331;NA;NA
"Occurrence.Elmidae";0.764968389735961;"family";1.09056995358128;0.781292743656607;0.793352607113937;0.786229869376898;0.728251424744362;0.717363650076668;0.683978872942569;0.20948796890648;0.714759309893394;0.28359227109554;0.272533958496951;0.279065165150544;0.332228599960153;0.342212163721414;0.372824392698077;0.80790964557702;0.344600217944549;0.348792131262744;0.361308591268166;0.352559311203034;0.42573210388184;0.4279878299831;0.34308837684714;0.458299688311116;0.33159500644221;0.680174453626419;0.668697464035499;0.67672013148237;0.609624213023846;0.607555821084518;0.685404521075897;0.579761310307401;0.695943386892975;1.24141307349992;1.24112969338669;1.24213947893624;1.16329868150568;1.15567883822597;1.18583272349967;0.883021385349745;1.21116432829263;"ANN-RF";0.116182076585574;NA;NA
"Occurrence.Gammaridae";0.732986240238007;"family";1.16053196633123;0.663634007003813;0.675260856597769;0.66918710931221;0.58995582603576;0.596594864026976;0.564871862506819;0.155312001737425;0.558731967076712;0.428163957342987;0.41814540556564;0.423378994524641;0.491650516184594;0.485929831030005;0.513264710585665;0.866171715865432;0.518555297668343;0.515147388696124;0.527558317205155;0.510766176999595;0.549666540903491;0.475285270749817;0.470532764290036;0.419322805367025;0.428463851471122;0.556110987339151;0.545416815296424;0.559886162710132;0.526366737970052;0.590459130348362;0.594554240692289;0.638680521060852;0.630803921045263;1.07706883432463;1.07664666360229;1.08243211342467;1.02034891523912;1.06253206123225;1.04829973229776;0.876336261260402;1.06730209496788;"RF-GAM";0.1123137830908;NA;NA
"Occurrence.Heptageniidae";0.7244328746746;"family";1.17743548541178;0.951512015537332;0.958196992549157;0.956292502286271;0.909434691858388;0.893690064732961;0.862115985294395;0.253993262187145;0.857805702908306;0.191877578579552;0.186200004653294;0.187817494771846;0.227613994035239;0.240985959905557;0.267801933969327;0.784282650443208;0.271462671597412;1.05487534441951;1.05613698292671;1.07221301852703;1.95926844875707;1.080009465707;1.01158289773272;0.983643239504238;1.17736814995011;0.104090748504502;0.103019234589022;0.0893658023632206;-0.664013419870606;0.082744253007384;0.140859172102376;0.164588419755136;5.71882387713476e-05;0.949631120084731;0.952209700142176;0.94368745060463;0.591604537409643;0.911047993869407;0.927990803544014;0.694318153796966;0.852330238378677;"RF-GAM";0.828601839625742;NA;NA
"Occurrence.Nemouridae";0.707698029007066;"family";1.2083999653351;0.78960820153773;0.793604688051822;0.798539168341345;0.743204884220242;0.790695144091357;0.708264652363401;0.210038421499102;0.697687552015105;0.346567176275314;0.343259921534551;0.339176438887186;0.384967804087828;0.345667687211421;0.413882263587296;0.826184684273095;0.422635243272597;1.03213269601234;1.04222702668388;1.03475363023873;2.67899527429717;1.22726616621716;1.11702950598514;1.11795117575891;1.18266654145343;0.145868317096388;0.137514848906129;0.143699387684292;-1.21697728496231;-0.0156125466925348;0.0756127623064177;0.0748500431735031;0.0212954523501118;0.88580163010003;0.883105002944656;0.888600762002938;0.379881774259866;0.803895887728659;0.81515057613649;0.635110437981776;0.78467199073505;"iGLM-GAM";1.36284560205869;NA;NA
"Occurrence.Empididae";0.688359985124582;"family";1.24081318179951;1.21563537869446;1.21827325920084;1.21992328396218;1.17393503346849;1.16929667531294;1.10655320593577;0.383844940772002;1.13134887962425;0.0202913730079315;0.0181654441855468;0.0168356511227874;0.053898644301984;0.057636804263195;0.108203215305169;0.690650497268797;0.0882198092193947;1.24106194532306;1.2487717268501;1.25568394320412;2.23131560046227;1.20574249920123;1.18428097680675;1.17153357147427;1.14434015155953;-0.000200484268864062;-0.00641397526019212;-0.0119846900586873;-0.798268775019182;0.0282642730692345;0.045560609624389;0.0558340379852934;0.077749843131157;0.98736718908821;0.984866446980474;0.982278574974359;0.589376380375346;0.981942121332965;0.961881626334975;0.674459050987725;0.993525415071049;"ANN-GAM";0.876018618150339;NA;NA
"Occurrence.Hydropsychidae";0.686872443287467;"family";1.24316052010929;1.00859797516195;1.0136965139849;1.01746420993483;0.940700449279141;0.91305231284466;0.878410251557078;0.255713961281507;0.925895343890979;0.18868242769383;0.184581156184253;0.181550416477685;0.243299289140521;0.265539487399109;0.293405608247716;0.794303344463492;0.255208535893997;0.549037054958039;0.517072074427109;0.57027008835902;0.487282623217705;0.598523349808145;0.51511476843628;0.59251723286804;0.49699759293134;0.558353852075538;0.584066525550818;0.54127397135417;0.608029200304023;0.518547009717195;0.585640985131192;0.523378338288969;0.600214465556188;1.25832372734025;1.28186009179634;1.25056701540583;1.25446465647378;1.17030509704171;1.19919169407474;0.845014378500115;1.23917876693515;"GAM-SVM";0.0894821905868282;NA;NA
