Taxa;Prevalence;Taxonomic level;Null_model;iGLM.fit;GAM.fit;SVM.fit;RF.fit;ANN.fit;expl.pow_iGLM.fit;expl.pow_GAM.fit;expl.pow_SVM.fit;expl.pow_RF.fit;expl.pow_ANN.fit;iGLM.pred;GAM.pred;SVM.pred;RF.pred;ANN.pred;expl.pow_iGLM.pred;expl.pow_GAM.pred;expl.pow_SVM.pred;expl.pow_RF.pred;expl.pow_ANN.pred;iGLM.likelihood.ratio;GAM.likelihood.ratio;SVM.likelihood.ratio;RF.likelihood.ratio;ANN.likelihood.ratio;Big.model.diff;Big.pred.expl.pow.diff;chGLM.model.diff;chGLM.pred.expl.pow.diff
Occurrence.Philopotamidae;0.095;family;0.627;0.551;0.527;0.610;0.170;0.511;0.122;0.160;0.028;0.728;0.185;0.011;3.502;0.182;0.015;0.014;0.982;-4.585;0.710;0.975;0.977;1.310;0.226;1.239;1.081;1.282;iGLM-GAM;5.567;NA;NA
Occurrence.Dixidae;0.093;family;0.617;0.566;0.519;0.624;0.209;0.525;0.083;0.159;-0.011;0.662;0.149;0.032;0.027;0.180;0.036;0.030;0.948;0.956;0.708;0.942;0.951;1.306;1.279;1.248;1.090;1.281;GAM-SVM;0.248;NA;NA
Occurrence.Blephariceridae;0.122;family;0.743;0.546;0.506;0.630;0.208;0.513;0.266;0.319;0.152;0.720;0.310;0.072;0.074;0.222;0.086;0.069;0.902;0.901;0.701;0.885;0.908;1.267;1.241;1.226;1.063;1.249;ANN-SVM;0.207;NA;NA
Occurrence.Elmidae;0.765;family;1.091;0.780;0.725;0.722;0.233;0.670;0.284;0.335;0.338;0.786;0.386;0.362;0.447;0.449;0.386;0.345;0.668;0.590;0.589;0.646;0.684;1.232;1.149;1.146;0.926;1.176;ANN-SVM;0.095;NA;NA
Occurrence.Hydropsychidae;0.687;family;1.243;1.007;0.940;0.942;0.277;0.926;0.190;0.244;0.242;0.777;0.255;0.528;0.497;0.615;0.558;0.471;0.576;0.601;0.505;0.551;0.621;1.271;1.248;1.178;0.869;1.256;ANN-SVM;0.116;NA;NA
Occurrence.Capniidae;0.106;family;0.676;0.495;0.438;0.461;0.130;0.412;0.268;0.353;0.318;0.807;0.391;0.479;0.496;0.381;0.364;0.481;0.291;0.266;0.436;0.461;0.289;1.008;0.971;1.041;0.889;0.966;RF-GAM;0.195;NA;NA
Occurrence.Scirtidae;0.198;family;0.996;0.971;0.933;0.955;0.315;0.885;0.025;0.063;0.041;0.684;0.112;0.464;2.107;0.580;0.546;0.524;0.534;-1.116;0.418;0.452;0.474;1.288;0.556;1.206;0.891;1.198;iGLM-GAM;1.650;NA;NA
Occurrence.Chloroperlidae;0.186;family;0.959;0.778;0.713;0.834;0.243;0.685;0.190;0.257;0.130;0.746;0.287;0.637;0.639;0.695;0.555;0.564;0.336;0.334;0.276;0.422;0.412;1.073;1.038;1.072;0.856;1.062;RF-SVM;0.146;NA;NA
Occurrence.Pediciidae;0.065;family;0.481;0.468;0.392;0.346;0.095;0.346;0.028;0.186;0.282;0.803;0.282;0.247;0.239;0.318;0.297;0.259;0.487;0.503;0.340;0.383;0.462;1.117;1.079;1.014;0.904;1.044;GAM-SVM;0.163;NA;NA
Occurrence.Perlodidae;0.444;family;1.374;1.084;1.036;1.008;0.322;0.997;0.210;0.246;0.266;0.766;0.274;0.914;1.162;0.881;0.887;0.909;0.335;0.154;0.359;0.354;0.339;1.089;0.939;1.066;0.754;1.045;SVM-GAM;0.205;NA;NA
