""	"InS_Year"	"InS_Station.nb."	"InS_SiteId"	"InS_X"	"InS_Y"	"InS_SampId"	"InS_aIdstao"	"InS_aIdbeob"	"InS_BearbeiterIn"	"InS_Aufnahmetyp"	"InS_Abschnittslaenge"	"InS_Absturze"	"InS_Absturzhoehe"	"InS_Absturzmaterial"	"InS_Absturztyp"	"InS_Aeusserer.Aspekt"	"InS_BEWALGEN"	"InS_Bauhoehe"	"InS_Baumaterial"	"InS_Bauwerke"	"InS_Bem_Abfaelle"	"InS_Bem_Bewuchs"	"InS_Bem_Eisensulfid"	"InS_Bem_Geruch"	"InS_Bem_Schaum"	"InS_Bem_Schlamm"	"InS_Bem_Trubung"	"InS_Bem_Verfaerbung"	"InS_LUFBEBEW"	"InS_RUFBEBEW"	"InS_LBUKVER"	"InS_RBUKVER"	"InS_GSBREITE"	"InS_LBUKMAT"	"InS_RBUKMAT"	"InS_EINDOL"	"InS_BEWMAKRO"	"InS_SOHLMAT"	"InS_Moose"	"InS_OEKOMKLASSE_1"	"InS_MSK_Nr"	"InS_VNATABST"	"InS_Praesenz_Abfaelle"	"InS_Praesenz_Bewuchs"	"InS_Praesenz_Eisensulfid"	"InS_Praesenz_Feststoffe"	"InS_Praesenz_Geruch"	"InS_Praesenz_Kolmation"	"InS_Praesenz_Schaum"	"InS_Praesenz_Schlamm"	"InS_Praesenz_Trubung"	"InS_Praesenz_Verfaerbung"	"InS_SOHLVER"	"InS_GSTIEFE"	"InS_TIEFENVAR"	"InS_LUFBEBRE"	"InS_RUFBEBRE"	"InS_Ursache_Bewuchs"	"InS_Ursache_Eisensulfid"	"InS_Ursache_Geruch"	"InS_Ursache_Kolmation"	"InS_Ursache_Schaum"	"InS_Ursache_Schlamm"	"InS_Ursache_Trubung"	"InS_Ursache_Verfaerbung"	"InS_BREITENVAR"	"InS_SPEAR"	"InS_dominantes_Substrat"	"InS_Substrat_0"	"InS_Substrat_1"	"InS_Substrat_2"	"InS_Substrat_3"	"InS_Substrat_4"	"InS_Substrat_5"	"InS_Substrat_6"	"InS_Substrat_7"	"InS_Substrat_8"	"InS_Substrat_9"	"InS_Substrat_10"	"InS_Teilprobe_P1"	"InS_Teilprobe_P2"	"InS_Teilprobe_P3"	"InS_Teilprobe_P4"	"InS_Teilprobe_P5"	"InS_Teilprobe_P6"	"InS_Teilprobe_P7"	"InS_Teilprobe_P8"
"1"	2010	"542155"	"CSCF_542155"	"542000"	"155385"	"CSCF_542155_2010-04-02"	542155	5421551	"Knispel Sandra"	"Normalaufnahme_Z9"	35	"0"	NA	""	"0"	0.694	"2"	NA	""	"0"	""	""	""	""	""	""	""	""	"1"	"1"	"1"	"1"	3.5	""	""	"0"	""	"4"	"2"	"Klasse II: wenig beeintraechtigt"	3	"0"	"keine"	"kein"	"< 25%"	"keine"	"kein"	"leicht/mittel"	"wenig/mittel"	"kein"	"kein"	"kein"	"2"	0.15	"2"	15	15	""	"unbekannt"	""	"naturlich"	"anthropogen"	""	""	""	"2"	32.26	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"s10v5"	"s10v3"	"s9v5"	"s7v3"	"s6v5"	"s5v3"	"s2v3"	"s1v5"
"2"	2010	"548219"	"CSCF_548219"	"549042"	"219095"	"CSCF_548219_2010-04-26"	548219	5482191	"Stucki Pascal"	"Normalaufnahme_Z9"	100	"0"	NA	""	"0"	0.722	"2"	NA	""	"0"	""	""	""	""	""	""	""	""	"1"	"1"	"1"	"1"	10	"1"	"1"	"0"	""	"1"	"2"	"Klasse I: natuerlich oder naturnah"	0	"1"	"keine"	"kein"	"0%"	"keine"	"kein"	"leicht/mittel"	"kein"	"kein"	"kein"	"kein"	"1"	1.5	"1"	16	16	""	""	""	"unbekannt"	""	""	""	""	"1"	27.98	""	3	3	NA	1	NA	3	2	1	NA	3	NA	"s9v4"	"s9v5"	"s7v1"	"s6v3"	"s5v3"	"s3v1"	"s1v5"	"s0v5"
"3"	2010	"554163"	"CSCF_554163"	"554000"	"163550"	"CSCF_554163_2010-04-02"	554163	5541631	"Knispel Sandra"	"Normalaufnahme_Z9"	13	"0"	NA	""	"0"	0.694	"1"	NA	""	"0"	""	""	""	""	""	""	""	""	"2"	"1"	"4"	"1"	1.3	"1"	""	"0"	""	""	""	"Klasse II: wenig beeintraechtigt"	4.25	"0"	"keine"	"kein"	"< 25%"	"keine"	"kein"	"leicht/mittel"	"kein"	"kein"	"kein"	"kein"	"1"	0.2	"2"	1	16	""	"unbekannt"	""	"unbekannt"	""	""	""	""	"2"	22.4	"6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"s10v5"	"s10v3"	"s9v5"	"s7v5"	"s6v5"	"s5v5"	"s2v3"	"s1v5"
"4"	2010	"560147"	"CSCF_560147"	"560577"	"147894"	"CSCF_560147_2010-04-29"	560147	5601471	"Knispel Sandra"	"Normalaufnahme_Z9"	8	"1"	10	"naturlich"	"1"	1	"1"	NA	""	"0"	""	""	""	""	""	""	""	""	"1"	"1"	"1"	"1"	0.8	""	""	"0"	""	""	"1"	"Klasse I: natuerlich oder naturnah"	0	"1"	"keine"	"kein"	"0%"	"keine"	"kein"	"kein"	"kein"	"kein"	"kein"	"kein"	"1"	0.08	"1"	15	10	""	""	""	""	""	""	""	""	"1"	42.97	"6"	NA	3	NA	NA	NA	1	4	1	NA	1	2	"s10v5"	"s10v3"	"s9v5"	"s9v3"	"s7v3"	"s6v5"	"s5v3"	"s1v5"
"5"	2010	"560187"	"CSCF_560187"	"560000"	"187671"	"CSCF_560187_2010-03-05"	560187	5601871	"Knispel Sandra"	"Normalaufnahme_Z9"	18	"0"	NA	""	"0"	0.444	"1"	NA	""	"0"	""	""	""	""	""	""	""	""	"3"	"3"	"1"	"1"	1.8	""	""	"0"	"1"	""	""	"Klasse III: stark beeintraechtigt"	6	"0"	"keine"	"kein"	"0%"	"keine"	"kein"	"stark"	"kein"	"viel"	"kein"	"kein"	"1"	0.2	"2"	2.5	2.5	""	""	""	"naturlich"	""	""	""	""	"3"	7.19	"3"	NA	NA	NA	3	NA	NA	NA	3	1	NA	NA	"s8v3"	"s8v5"	"s8v5"	"s7v3"	"s7v3"	"s7v1"	"s3v3"	"s3v1"
"6"	2010	"566131"	"CSCF_566131"	"566591"	"131000"	"CSCF_566131_2010-04-08"	566131	5661311	"Knispel Sandra"	"Normalaufnahme_Z9"	12	"1"	150	"Fels/Stein"	"1"	0.722	"2"	NA	""	"0"	""	""	""	""	""	""	""	""	"1"	"1"	"1"	"1"	1.2	""	""	"0"	""	""	""	"Klasse I: natuerlich oder naturnah"	0	"1"	"keine"	"kein"	"0%"	"keine"	"kein"	"kein"	"wenig/mittel"	"kein"	"kein"	"kein"	"1"	0.2	"1"	15	15	""	""	""	""	"anthropogen"	""	""	""	"1"	52.69	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"s10v4"	"s10v5"	"s7v3"	"s7v1"	"s6v4"	"s6v5"	"s5v5"	"s1v5"
"7"	2010	"566171"	"CSCF_566171"	"566355"	"172000"	"CSCF_566171_2010-04-07"	566171	5661711	"Knispel Sandra"	"Normalaufnahme_Z9"	13	"0"	NA	""	"0"	1	"1"	NA	""	"0"	""	""	""	""	""	""	""	""	"1"	"1"	"1"	"1"	1.3	""	""	"0"	""	""	""	"Klasse II: wenig beeintraechtigt"	4	"0"	"keine"	"kein"	"0%"	"keine"	"kein"	"stark"	"kein"	"kein"	"kein"	"kein"	"1"	0.1	"2"	1	3	""	""	""	"naturlich"	""	""	""	""	"2"	42.43	"6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"s10v5"	"s7v5"	"s7v3"	"s6v4"	"s6v5"	"s5v5"	"s3v3"	"s2v3"
"8"	2010	"572155"	"CSCF_572155"	"572423"	"155000"	"CSCF_572155_2010-04-07"	572155	5721551	"Mulattieri Pascal"	"Normalaufnahme_Z9"	30	"1"	30	"Holz"	"2"	0.722	""	NA	"Brucke"	"1"	""	""	""	""	""	""	""	"grise"	"1"	"1"	"1"	"1"	3	""	""	"0"	""	""	"2"	"Klasse II: wenig beeintraechtigt"	4	"1"	"keine"	"wenig"	"0%"	"keine"	"kein"	"kein"	"kein"	"kein"	"stark"	"kein"	"1"	0.25	"2"	3	3	""	""	""	""	""	""	"naturlich"	""	"2"	50.8	""	NA	NA	NA	NA	NA	3	4	1	NA	1	3	"s10v4"	"s10v5"	"s9v5"	"s7v5"	"s7v3"	"s6v5"	"s6v3"	"s5v5"
"9"	2010	"578139"	"CSCF_578139"	"578000"	"139423"	"CSCF_578139_2010-04-28"	578139	5781391	"Knispel Sandra"	"Normalaufnahme_Z9"	13	"1"	90	"naturlich"	"1"	1	"1"	NA	""	"0"	""	""	""	""	""	""	""	""	"1"	"1"	"1"	"1"	1.3	""	""	"0"	"1"	""	"1"	"Klasse I: natuerlich oder naturnah"	0	"1"	"keine"	"kein"	"0%"	"keine"	"kein"	"leicht/mittel"	"kein"	"kein"	"kein"	"kein"	"1"	0.25	"1"	10	10	""	""	""	"naturlich"	""	""	""	""	"1"	45.68	"1"	NA	4	NA	NA	NA	1	2	1	NA	1	1	"s10v4"	"s10v5"	"s9v5"	"s9v3"	"s7v3"	"s6v5"	"s5v3"	"s1v5"
"10"	2010	"578179"	"CSCF_578179"	"579000"	"179644"	"CSCF_578179_2010-04-21"	578179	5781791	"Zurwerra Andreas"	"Normalaufnahme_Z9"	18	"0"	NA	""	"0"	1	"1"	NA	""	"0"	""	""	""	""	""	""	""	""	"1"	"1"	"1"	"1"	1.8	""	""	"0"	"1"	""	"1"	"Klasse II: wenig beeintraechtigt"	2	"0"	"keine"	"wenig"	"0%"	"keine"	"kein"	"kein"	"wenig/mittel"	"kein"	"kein"	"kein"	"1"	0.05	"2"	15	15	"naturlich"	""	""	""	"naturlich"	""	""	""	"2"	46.63	""	NA	4	2	2	NA	NA	1	2	NA	NA	1	"s10v5"	"s10v3"	"s7v1"	"s6v3"	"s3v1"	"s2v1"	"s1v5"	"s1v3"
