"aIdstao"	"aIdbeob"	"Jahr"	"natural_artifical_surfaces"	"mobile_blocks"	"coarse_inorganic_sediments"	"gravel"	"sand_silt"	"fine_sediments"	"coarse_organic_matter"	"moss"	"hydrophytes"	"helophytes"	"algae_clay"	"error"	"v_150"	"v_25_75"	"v_5"	"v_5_25"	"v_75_150"	"flow error"	"MonitoringProgram"
560187	5601871	2010	0	0	0	0	0	0.25	0.375	0	0.375	0	0	NA	0.25	0.5	0.25	0	0	"0"	"BDM"
584243	5842431	2010	0.125	0.125	0.125	0.125	0.125	0	0.125	0	0	0.125	0.125	NA	0	0.375	0.625	0	0	"0"	"BDM"
608219	6082191	2010	0	0	0.125	0.125	0.125	0.125	0.125	0.125	0.25	0	0	NA	1	0	0	0	0	"0"	"BDM"
608259	6082591	2010	0	0.125	0.125	0.125	0.125	0.125	0.25	0	0	0	0.125	NA	0.375	0.625	0	0	0	"0"	"BDM"
626251	6262511	2010	0	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0.125	NA	0.25	0.125	0.375	0.25	0	"0"	"BDM"
632235	6322351	2010	0	0.125	0.125	0.125	0.125	0.125	0.125	0.25	0	0	0	NA	0.625	0.375	0	0	0	"0"	"BDM"
644243	6442431	2010	0	0.25	0.375	0	0	0.125	0.25	0	0	0	0	NA	0	0.625	0.375	0	0	"0"	"BDM"
650227	6502271	2011	0	0	0	0	0	0.5	0.5	0	0	0	0	NA	1	0	0	0	0	"0"	"BDM"
650267	6502671	2010	0	0.25	0.25	0.125	0.125	0	0.25	0	0	0	0	NA	0	0.125	0.875	0	0	"0"	"BDM"
656251	6562511	2010	0.125	0.25	0.125	0.125	0.125	0.125	0.125	0	0	0	0	NA	0	0	0.75	0.25	0	"0"	"BDM"
662195	6621951	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"BDM"
668219	6682191	2011	0	0	0.25	0.125	0	0.125	0.25	0	0	0.25	0	NA	0.5	0.5	0	0	0	"0"	"BDM"
