"aIdstao"	"aIdbeob"	"Jahr"	"natural_artifical_surfaces"	"mobile_blocks"	"coarse_inorganic_sediments"	"gravel"	"sand_silt"	"fine_sediments"	"coarse_organic_matter"	"covclass_mobile_blocks"	"covclass_moss"	"covclass_hydrophytes"	"covclass_coarse_organic_matter"	"covclass_coarse_inorganic_sediments"	"covclass_gravel"	"covclass_helophytes"	"covclass_fine_sediments"	"covclass_sand_silt"	"covclass_natural_artifical_surfaces"	"covclass_algae_clay"	"normcov_mobile_blocks"	"normcov_moss"	"normcov_hydrophytes"	"normcov_coarse_organic_matter"	"normcov_coarse_inorganic_sediments"	"normcov_gravel"	"normcov_helophytes"	"normcov_fine_sediments"	"normcov_sand_silt"	"normcov_natural_artifical_surfaces"	"normcov_algae_clay"	"error"
560187	5601871	2010	0	0	0	0	0	0.25	0.375	NA	NA	1	3	NA	NA	NA	3	NA	NA	NA	0	0	0.046875	0.4765625	0	0	0	0.4765625	0	0	0	NA
584243	5842431	2010	0.125	0.125	0.125	0.125	0.125	0	0.125	1	1	NA	1	4	2	1	NA	2	1	2	0.0262008733624454	0.0262008733624454	0	0.0262008733624454	0.65938864628821	0.0698689956331878	0.0262008733624454	0	0.0698689956331878	0.0262008733624454	0.0698689956331878	NA
608219	6082191	2010	0	0	0.125	0.125	0.125	0.125	0.125	NA	1	3	2	3	2	NA	2	2	NA	NA	0	0.03125	0.317708333333333	0.0833333333333333	0.317708333333333	0.0833333333333333	0	0.0833333333333333	0.0833333333333333	0	0	NA
608259	6082591	2010	0	0.125	0.125	0.125	0.125	0.125	0.25	1	NA	NA	3	1	2	NA	3	3	NA	2	0.026431718061674	0	0	0.268722466960352	0.026431718061674	0.0704845814977974	0	0.268722466960352	0.268722466960352	0	0.0704845814977974	NA
626251	6262511	2010	0	0.125	0.125	0.125	0.125	0.125	0.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
632235	6322351	2010	0	0.125	0.125	0.125	0.125	0.125	0.125	1	3	NA	3	2	1	NA	4	1	NA	NA	0.0195439739413681	0.198697068403909	0	0.198697068403909	0.0521172638436482	0.0195439739413681	0	0.49185667752443	0.0195439739413681	0	0	NA
644243	6442431	2010	0	0.25	0.375	0	0	0.125	0.25	2	NA	NA	2	4	2	NA	2	NA	NA	NA	0.0744186046511628	0	0	0.0744186046511628	0.702325581395349	0.0744186046511628	0	0.0744186046511628	0	0	0	NA
650227	6502271	2011	0	0	0	0	0	0.5	0.5	NA	NA	NA	3	NA	NA	NA	4	NA	NA	NA	0	0	0	0.287735849056604	0	0	0	0.712264150943396	0	0	0	NA
650267	6502671	2010	0	0.25	0.25	0.125	0.125	0	0.25	2	NA	NA	1	4	3	NA	NA	1	NA	NA	0.0666666666666667	0	0	0.025	0.629166666666667	0.254166666666667	0	0	0.025	0	0	NA
656251	6562511	2010	0.125	0.25	0.125	0.125	0.125	0.125	0.125	3	NA	NA	1	4	2	NA	1	NA	1	NA	0.247967479674797	0	0	0.024390243902439	0.613821138211382	0.0650406504065041	0	0.024390243902439	0	0.024390243902439	0	NA
662195	6621951	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
668219	6682191	2011	0	0	0.25	0.125	0	0.125	0.25	NA	NA	NA	1	1	1	2	4	3	NA	NA	0	0	0	0.024390243902439	0.024390243902439	0.024390243902439	0.0650406504065041	0.613821138211382	0.247967479674797	0	0	NA
668259	6682591	2010	0	0.25	0.25	0.125	0	0.125	0.25	1	NA	NA	1	4	2	NA	1	NA	NA	NA	0.0324324324324324	0	0	0.0324324324324324	0.816216216216216	0.0864864864864865	0	0.0324324324324324	0	0	0	NA
674203	6742031	2010	0	0.125	0.375	0.25	0.125	0.125	0	1	NA	NA	NA	4	2	NA	1	1	NA	NA	0.0324324324324324	0	0	0	0.816216216216216	0.0864864864864865	0	0.0324324324324324	0.0324324324324324	0	0	NA
674243	6742431	2010	0.125	0.25	0.25	0.125	0	0	0.25	4	NA	NA	1	3	2	NA	NA	NA	2	NA	0.604	0	0	0.024	0.244	0.064	0	0	0	0.064	0	NA
686211	6862111	2011	0	0	0.25	0.25	0.25	0	0.25	NA	NA	NA	2	2	4	NA	NA	3	NA	NA	0	0	0	0.0655737704918033	0.0655737704918033	0.618852459016393	0	0	0.25	0	0	NA
686251	6862511	2010	0	0.25	0.125	0.125	0	0.125	0	1	NA	3	NA	3	2	NA	1	NA	NA	3	0.028436018957346	0	0.289099526066351	0	0.289099526066351	0.0758293838862559	0	0.028436018957346	0	0	0.289099526066351	NA
692235	6922351	2010	0	0.25	0.25	0.125	0.125	0	0.125	2	NA	NA	1	4	3	NA	NA	3	NA	3	0.0449438202247191	0	0	0.0168539325842697	0.424157303370786	0.171348314606742	0	0	0.171348314606742	0	0.171348314606742	NA
692275	6922751	2010	0	0	0	0.25	0.125	0.125	0.125	NA	NA	3	3	NA	3	1	2	4	NA	2	0	0	0.163978494623656	0.163978494623656	0	0.163978494623656	0.0161290322580645	0.043010752688172	0.405913978494624	0	0.043010752688172	NA
698259	6982591	2010	0.125	0	0.25	0.25	0.125	0	0.25	NA	NA	NA	3	2	4	NA	NA	2	2	NA	0	0	0	0.234615384615385	0.0615384615384615	0.580769230769231	0	0	0.0615384615384615	0.0615384615384615	0	NA
704243	7042431	2010	0	0.25	0.125	0.125	0.125	0	0.25	1	NA	NA	1	4	3	NA	NA	2	NA	2	0.0234375	0	0	0.0234375	0.58984375	0.23828125	0	0	0.0625	0	0.0625	NA
710227	7102271	2010	0	0.25	0.25	0	0	0	0	2	3	1	4	NA	NA	NA	NA	NA	NA	4	0.0415584415584416	0.158441558441558	0.0155844155844156	0.392207792207792	0	0	0	0	0	0	0.392207792207792	NA
710267	7102671	2010	0	0.125	0.25	0.25	0.125	0	0.125	1	1	NA	3	4	3	NA	NA	1	NA	NA	0.0206185567010309	0.0206185567010309	0	0.209621993127148	0.518900343642612	0.209621993127148	0	0	0.0206185567010309	0	0	NA
722115	7221151	2010	0	0.125	0.125	0	0.125	0.125	0.375	3	1	NA	3	3	2	NA	1	2	NA	NA	0.268722466960352	0.026431718061674	0	0.268722466960352	0.268722466960352	0.0704845814977974	0	0.026431718061674	0.0704845814977974	0	0	NA
728259	7282591	2010	0	0	0.125	0.25	0.125	0.125	0.125	NA	2	2	2	4	3	NA	1	2	NA	NA	0	0.0567375886524823	0.0567375886524823	0.0567375886524823	0.535460992907801	0.216312056737589	0	0.0212765957446809	0.0567375886524823	0	0	NA
740267	7402671	2010	0.125	0.25	0.125	0.125	0.125	0	0.125	2	2	NA	2	3	3	NA	NA	1	1	NA	0.0879120879120879	0.0879120879120879	0	0.0879120879120879	0.335164835164835	0.335164835164835	0	0	0.032967032967033	0.032967032967033	0	NA
758259	7582591	2010	0.125	0.25	0.125	0.125	0.125	0	0.125	2	1	NA	1	2	1	NA	NA	1	4	NA	0.0772946859903382	0.0289855072463768	0	0.0289855072463768	0.0772946859903382	0.0289855072463768	0	0	0.0289855072463768	0.729468599033816	0	NA
542155	5421551	2010	0.125	0.25	0.125	0.125	0.125	0	0.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
548219	5482191	2010	0.125	0	0.125	0.125	0	0.125	0.125	NA	3	NA	1	2	3	NA	1	NA	3	3	0	0.224264705882353	0	0.0220588235294118	0.0588235294117647	0.224264705882353	0	0.0220588235294118	0	0.224264705882353	0.224264705882353	NA
554163	5541631	2010	0.125	0.25	0.125	0.125	0.125	0	0.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
566131	5661311	2010	0.125	0.25	0.25	0.125	0	0	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
566171	5661711	2010	0	0.125	0.25	0.125	0.125	0.125	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
572155	5721551	2010	0	0.25	0.25	0.125	0	0	0.25	3	1	NA	1	4	3	NA	NA	NA	NA	NA	0.214035087719298	0.0210526315789474	0	0.0210526315789474	0.529824561403509	0.214035087719298	0	0	0	0	0	NA
578179	5781791	2010	0.25	0.25	0.125	0	0.125	0.125	0.125	1	NA	NA	2	1	NA	NA	2	2	4	NA	0.028436018957346	0	0	0.0758293838862559	0.028436018957346	0	0	0.0758293838862559	0.0758293838862559	0.71563981042654	0	NA
608179	6081791	2010	0	0	0.375	0.125	0.125	0.125	0.125	NA	1	NA	1	3	3	NA	2	1	NA	NA	0	0.0384615384615385	0	0.0384615384615385	0.391025641025641	0.391025641025641	0	0.102564102564103	0.0384615384615385	0	0	NA
614203	6142031	2010	0.125	0.25	0.125	0.125	0.125	0.125	0.125	2	1	NA	2	4	2	NA	3	2	2	2	0.0509554140127388	0.0191082802547771	0	0.0509554140127388	0.480891719745223	0.0509554140127388	0	0.194267515923567	0.0509554140127388	0.0509554140127388	0.0509554140127388	NA
614243	6142431	2010	0	0.25	0.25	0.125	0.125	0	0.25	3	NA	NA	3	4	3	NA	NA	2	NA	NA	0.174285714285714	0	0	0.174285714285714	0.431428571428571	0.174285714285714	0	0	0.0457142857142857	0	0	NA
