"SiteId"	"SampId"	"MonitoringProgram"	"Day."	"Month."	"Year."	"Canton"	"X"	"Y"	"Altitude"	"Sampling.window"	"SPEAR.index"	"Latitude"	"Longitude"	"Notes.Loc"	"EZG.NR"	"BIOGEO"	"IBCH.index"	"Slope"	"Channel.Width"	"FRI"	"bFRI"	"normcov.mobile.blocks"	"normcov.coarse.inorganic.sediments"	"normcov.gravel"	"normcov.sand.silt"	"normcov.fine.sediments"	"normcov.algae.clay"	"normcov.natural.artifical.surfaces"	"normcov.moss"	"normcov.hydrophytes"	"normcov.helophytes"	"normcov.coarse.organic.matter"	"sfract.mobile.blocks"	"sfract.coarse.inorganic.sediments"	"sfract.gravel"	"sfract.sand.silt"	"sfract.fine.sediments"	"sfract.algae.clay"	"sfract.natural.artifical.surfaces"	"sfract.moss"	"sfract.hydrophytes"	"sfract.helophytes"	"sfract.coarse.organic.matter"	"v.5"	"v.5.25"	"v.25.75"	"v.75.150"	"v.150"	"temperature"	"ARA.fraction"	"IAR"	"urban.area"	"cow.density"	"agri.land"	"fields"	"saprobic.cond"	"morphology"	"width.variability"	"bed.modification"	"bank.modification"	"No.bank.modification.left"	"No.bank.modification.right"	"riparian.zone"	"Near.natural.riparian.zone.left"	"Large.width.of.riparian.zone.left"	"Natural.vegetation.in.riparian.zone.left"	"Near.natural.riparian.zone.right"	"Large.width.of.riparian.zone.right"	"Natural.vegetation.in.riparian.zone.right"	"velocity"	"rip.zone.deg"	"bed.deg"	"A10m"	"temperature2"	"velocity2"	"FLOZ"	"ABFLUSS"	"GEFAELLE"	"GEO"	"NAME.FGTy"	"GEWAESSERTYP"	"regimetyp"	"abflussvar"	"A.EZG"	"FASS.ANT"	"DACH.ANT"	"FA.DACH.ANT"	"S.STR.A.ANT"	"GRUEF.ANT"	"SIED.ANT"	"DEPO.ANT"	"MW"	"GEL.A.ANT"	"A.STR.A.ANT"	"K.STR.A.ANT"	"G.STR.A.ANT"	"VERK.ANT"	"STR.A.ANT"	"ACK.ANT"	"HUEF.ANT"	"KART.ANT"	"GETR.ANT"	"MAIS.ANT"	"OBST.ANT"	"RAPS.ANT"	"RUEB.ANT"	"GEM.ANT"	"REB.ANT"	"KW.ANT"	"AJWW.ANT"	"NAWHW.ANT"	"WALD.ANT"	"GRUE.ANT"	"Landuse.ANT"	"GLAC.ANT"	"DEM.EZG"	"Residual.flow"	"Hypeak.Stretch"	"Hypeak.Site"	"Hypow.Dist"	"HypowAll.Dist"	"Discharge"	"No.coverage"	"Open.river"	"InS.Absturze"	"InS.Absturzhoehe"	"InS.Aeusserer.Aspekt"	"InS.BEWALGEN"	"InS.BEWMAKRO"	"InS.Moose"	"InS.Praesenz.Abfaelle"	"InS.Praesenz.Bewuchs"	"InS.Praesenz.Eisensulfid"	"InS.Praesenz.Feststoffe"	"InS.Praesenz.Geruch"	"InS.Praesenz.Kolmation"	"InS.Praesenz.Schaum"	"InS.Praesenz.Schlamm"	"InS.Praesenz.Trubung"	"InS.Praesenz.Verfaerbung"	"InS.dominantes.Substrat"	"EINDOL"	"GSBREITE"
"CSCF_572155"	"CSCF_572155_2010-04-07"	"BDM"	7	4	2010	"Fribourg"	572423	155000	727	1	64.8	46.545718	7.079095	NA	20917	"Alpennordflanke"	13	4.81138	3.6	45.642076	0	0.214035087719298	0.529824561403509	0.214035087719298	0	0	0	0	0.0210526315789474	0	0	0.0210526315789474	0.25	0.25	0.125	0	0	0	0	0.125	0	0	0.25	0.625	0.125	0.25	0	0	12.9096615174999	0	8.67131e-05	0.0083	8.36132028142486	0.769147	38.831726	0.815852094879918	0.678820652173913	0.4125	1	1	1	1	0.302782608695652	0.302782608695652	0.266086956521739	1	0.302782608695652	0.266086956521739	1	1.48724580819877	0.697217391304348	0	0.4058433	166.659360496417	2.21190009400481	3	"mittel"	"mittelsteil"	"karbonatisch"	"Mittelsteiles, mittleres Fliessgewässer der montanen, karbonatischen Alpennordflanke"	32221	"nival de transition"	19	19115901.75	0.3	0.14	0.44	0.13	0.31	0.83	0	5426	0	0	0	0.771	0.771	0.771	0.769147	0	0	0.00138005	0.00251859	0	0	0.00028751	0	0	0.28728	36.850687	1.981039	20.209684	39.119006	60.64	0	1506.633675	NA	NA	NA	NA	NA	0.78	1	0.678820652173913	1	30	0.722	NA	0	2	"keine"	"wenig"	"0%"	"keine"	"kein"	"kein"	"kein"	"kein"	"stark"	"kein"	""	0	3
"CSCF_584243"	"CSCF_584243_2010-03-09"	"BDM"	9	3	2010	"Jura"	584000	243405	488	1	32.7	47.341307	7.226923	NA	96192	"Jura"	15	0.987944	2	7.449161	0	0.0262008733624454	0.65938864628821	0.0698689956331878	0.0698689956331878	0	0.0698689956331878	0.0262008733624454	0.0262008733624454	0	0.0262008733624454	0.0262008733624454	0.125	0.125	0.125	0.125	0	0.125	0.125	0	0	0.125	0.125	0.625	0	0.375	0	0	16.9046311172773	0	0.0117817155	0.0538	36.6542383605109	22.58245564	32.909455	1.40185100489621	0.557286684782609	0.4125	1	0.62	1	0.24	0.196646739130435	0.196646739130435	0.177391304347826	0.5625	0.196646739130435	0.177391304347826	0.5625	0.355141315479631	0.803353260869565	0	48.7692871	285.766553211219	0.126125353960602	2	"mittel"	"mittelsteil"	"karbonatisch"	"Mittelsteiles, mittleres Fliessgewässer des kollinen, karbonatischen Juras"	11221	NA	NA	6487818.398	1.55	0.93	2.48	0.96	2.17	5.38	0.62	0	0.023	0.501	0.684	2.134	3.343	3.32	22.579701	0.00012557	0.00084528	0.04894508	0.02933719	0.00275464	0.00049096	3.968e-05	6.005e-05	0	14.181751	18.031928	14.877527	24.378544	47.091207	85.25	0	624.14704	NA	NA	NA	NA	NA	0.119353	1	0.557286684782609	1	10	1	2	1	1	"keine"	"kein"	"0%"	"vereinzelte"	"kein"	"leicht/mittel"	"kein"	"kein"	"leicht/mittel"	"kein"	"6"	0	3
"CSCF_566171"	"CSCF_566171_2010-04-07"	"BDM"	7	4	2010	"Fribourg"	566355	172000	807	1	63.1	46.698363	6.998741	NA	9602	"Mittelland"	16	3.03795	2	50.042241	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.125	0.25	0.125	0.125	0.125	0	0	0	0	0	0.25	0.5	0.125	0.375	0	0	14.2280009458761	0	0.005834117	0.0057	88.091530048363	17.869592	38.882392	1.65967799512307	0.672625	0.4125	1	1	1	1	0.278	0.164	0.12	1	0.392	0.36	1	0.571929968126324	0.722	0	12.258462	202.436010915851	0.327103888440978	3	"mittel"	"mittelsteil"	"karbonatisch"	"Mittelsteiles, mittleres Fliessgewässer des montanen, karbonatischen Mittellands"	22221	"pluvial jurassien"	26	3106830.042	0.1	0.08	0.18	0.04	0.22	0.57	0	0	0	0	0	1.923	1.923	1.923	17.869592	0.00031709	0.00114958	0.04691446	0.01435078	0	0.00192306	0.00196666	0	0	11.104705	0	38.882392	32.395474	49.987097	89.72	0	922.619753	NA	NA	NA	NA	NA	0.1	1	0.672625	0	NA	1	1	0	NA	"keine"	"kein"	"0%"	"keine"	"kein"	"stark"	"kein"	"kein"	"kein"	"kein"	"6"	0	1.3
"CSCF_578179"	"CSCF_578179_2010-04-21"	"BDM"	21	4	2010	"Fribourg"	579000	179644	661	1	46.6	46.767641	7.163718	NA	4366	"Mittelland"	8	9.22688	2	39.546027	95.284208	0.028436018957346	0.028436018957346	0	0.0758293838862559	0.0758293838862559	0	0.71563981042654	0	0	0	0.0758293838862559	0.25	0.125	0	0.125	0.125	0	0.25	0	0	0	0.125	0.25	0	0.375	0	0.375	14.1083586699829	0	0.0423300495	0.0122	114.127209467542	40.84305338	33.942028	2.25171333075918	0.853125	0.4125	1	1	1	1	1	1	1	1	1	1	1	0.491410068389537	0	0	5.727386	199.045784360882	0.241483855314609	2	"klein"	"steil"	"karbonatisch"	"Steiles, kleines Fliessgewässer des montanen, karbonatischen Mittellands"	22131	NA	NA	1071165.996	0.56	0.25	0.82	0.06	0.17	1.22	0	0	0	0	1.665	0.933	2.598	2.598	40.839205	0.01313418	0.00550123	0.16819199	0.05852855	0.00384838	0.00743525	0.001977	0.00135812	0	14.670418	0	33.942028	14.88652	48.612446	90.89	0	729.057434	NA	NA	NA	NA	NA	0.016845	1	0.853125	0	NA	1	1	1	1	"keine"	"wenig"	"0%"	"keine"	"kein"	"kein"	"wenig/mittel"	"kein"	"kein"	"kein"	""	0	1.8
"CSCF_566131"	"CSCF_566131_2010-04-08"	"BDM"	8	4	2010	"Vaud"	566591	131000	861	1	62.4	46.329561	7.00479	NA	32740	"Alpennordflanke"	15	19.405701	2.7	78.428073	100.00004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	0.25	0.125	0	0	0	0.125	0	0	0	0.25	0.5	0.25	0.125	0	0.125	10.8888915197624	0	0	0.1601	3.63411917710026	0	17.895489	0.77027591610303	1	1	1	1	1	1	1	1	1	1	1	1	1	0.85109848553058	0	0	0	118.567958529154	0.724368632072447	2	"mittel"	"steil"	"karbonatisch"	"Steiles, mittleres Fliessgewässer der montanen, karbonatischen Alpennordflanke"	32231	NA	NA	2771242.909	9.19	2.55	11.74	2.78	8.39	16.01	0	0	0.055	0	0	0.926	0.981	0.926	0	0	0	0	0	0	0	0	0	0	0	16.001653	1.893836	37.225286	17.895489	71.13	0	1456.219518	NA	NA	NA	NA	NA	0.062061	1	1	1	150	0.722	2	0	NA	"keine"	"kein"	"0%"	"keine"	"kein"	"kein"	"wenig/mittel"	"kein"	"kein"	"kein"	"1"	0	1.2
"CSCF_590107"	"CSCF_590107_2010-06-23"	"BDM"	23	6	2010	"Valais"	590000	107645	1968	1	50.8	46.120226	7.309276	NA	41258	"Zentralalpen"	13	17.5844	3.6	6.983872	50.87856	0.320594479830149	0.320594479830149	0.0127388535031847	0.0127388535031847	0	0	0.320594479830149	0	0	0	0.0127388535031847	0.25	0.25	0.125	0.125	0	0	0.125	0	0	0	0.125	0.25	0.25	0.5	0	0	5.16960624326354	0	0	0	1.20085265661707	0	8.005685	0.754021695746202	0.839158482142857	1	1	1	1	1	0.356633928571429	0.367571428571429	0.334285714285714	1	0.345696428571429	0.334285714285714	0.5625	1.41522271166517	0.643366071428571	0	0	26.7248287103894	2.00285532361291	3	"mittel"	"steil"	"silikatisch"	"Steiles, mittleres Fliessgewässer der alpinen, silikatischen Zentralalpen"	43232	"a-glacio-nival"	13	7015887.381	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.005685	0	1.784888	8.005685	9.79	10.705429	2595.673764	NA	NA	NA	NA	NA	0.28	1	0.839158482142857	1	100	0.694	3	0	NA	"vereinzelte"	"kein"	"0%"	"keine"	"kein"	"leicht/mittel"	"kein"	"kein"	"kein"	"kein"	"1"	0	2.5
"CSCF_584123"	"CSCF_584123_2010-05-18"	"BDM"	18	5	2010	"Valais"	584757	124000	1135	2	78.1	46.26725	7.24092	NA	36173	"Zentralalpen"	10	12.8973	12	9.295754	13.223768	0.49185667752443	0.198697068403909	0.0195439739413681	0.0521172638436482	0.0195439739413681	0	0.198697068403909	0	0	0	0.0195439739413681	0.25	0.125	0.125	0.125	0.125	0	0.125	0	0	0	0.125	0.25	0.25	0.25	0	0.25	10.7705834687204	0	0	0.0019	1.7285539223996	0	11.523693	0.757546740201629	0.8765625	1	1	0.78125	1	0.5625	0.725	1	1	1	0.45	1	0	1.74292787608713	0.275	0	0	116.005468256673	3.0377975812416	4	"gross"	"steil"	"karbonatisch"	"Steiles, grosses Fliessgewässer der montanen, karbonatischen Zentralalpen"	42331	"nivo glaciaire"	17	47303194.85	0.06	0.02	0.08	0	0.08	0.19	0.04	0	0	0	0	0.2	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	11.523693	0	10.571364	11.523693	22.28	1.993793	2044.810524	NA	NA	NA	NA	NA	2.16	1	0.8765625	1	15	1	1	1	1	"keine"	"kein"	"0%"	"keine"	"kein"	"kein"	"kein"	"kein"	"kein"	"kein"	"10"	0	5
"CSCF_554163"	"CSCF_554163_2010-04-02"	"BDM"	2	4	2010	"Fribourg"	554000	163550	669	1	34.7	46.621615	6.838054	NA	14613	"Mittelland"	15	3.66389	2	28.544218	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	0.125	0.125	0.125	0	0	0.125	0.125	0	0	0.125	0.75	0	0.25	0	0	14.9310216528156	0	0.0361042892	0.0516	55.9997794774925	31.23897508	17.858506	1.68862787336565	0.691203125	0.4125	1	0.78125	0.5625	1	0.5710625	0.142125	0.12	0.5625	1	1	1	0.476480198483353	0.4289375	0	35.6792564	222.935407596848	0.227033379546736	2	"mittel"	"mittelsteil"	"karbonatisch"	"Mittelsteiles, mittleres Fliessgewässer des montanen, karbonatischen Mittellands"	22221	NA	NA	2715223.978	1.94	0.81	2.76	0.61	0.84	5.16	0	0	0.076	0	0	2.504	2.58	2.504	31.238265	0.00092894	0.00575155	0.10730914	0.0376236	0.00071008	0.01409003	0.00403149	0.00051011	0	13.678685	0	17.858506	34.389092	31.537191	88.65	0	778.436671	NA	NA	NA	NA	NA	0.055047	1	0.691203125	0	NA	0.694	1	0	NA	"keine"	"kein"	"< 25%"	"keine"	"kein"	"leicht/mittel"	"kein"	"kein"	"kein"	"kein"	"6"	0	1.3
"CSCF_596171"	"CSCF_596171_2010-04-21"	"BDM"	21	4	2010	"Berne"	596344	172000	1249	1	77.9	46.699201	7.390836	NA	9712	"Alpennordflanke"	15	6.27321	4	26.12681	0	0.214035087719298	0.529824561403509	0.214035087719298	0	0	0	0	0.0210526315789474	0	0	0.0210526315789474	0.25	0.25	0.125	0	0	0	0	0.125	0	0	0.25	0.375	0.375	0.25	0	0	10.7868716133634	0	0	0	8.19930761310495	0	54.662051	0.800771374855541	0.803666666666667	1	1	1	1	1	0.214666666666667	0.297	0.26	1	0.132333333333333	0.0866666666666667	1	0.726636076488685	0.785333333333333	0	0	116.356599203185	0.52799998765487	3	"mittel"	"steil"	"karbonatisch"	"Steiles, mittleres Fliessgewässer der montanen, karbonatischen Alpennordflanke"	32231	"nival alpin"	18	6109220.481	0	0	0	0	0	0	0	0	0	0	0	0.126	0.126	0.126	0	0	0	0	0	0	0	0	0	0	0	54.662051	0	8.512223	54.662051	63.17	0	1631.718175	NA	NA	NA	NA	NA	0.26	1	0.803666666666667	0	NA	0.722	1	0	1	"keine"	"wenig"	"0%"	"keine"	"kein"	"leicht/mittel"	"kein"	"kein"	"kein"	"kein"	""	0	4.5
"CSCF_590147"	"CSCF_590147_2010-04-27"	"BDM"	27	4	2010	"Berne"	591000	147114	1257	1	74.2	46.475287	7.32145	NA	24322	"Alpennordflanke"	14	6.37032	10	16.606009	34.726908	0.38125	0.38125	0.1	0	0.1	0	0	0	0	0	0.0375	0.25	0.25	0.25	0	0.125	0	0	0	0	0	0.125	0.5	0.375	0.125	0	0	11.3759922691379	0	0	0.0015	11.2822996080948	0	48.859651	0.821365761382074	0.762060714285714	0.4125	1	1	1	1	0.635742857142857	1	1	1	0.271485714285714	0.233142857142857	1	1.40733084834685	0.364257142857143	0	0	129.413200107485	1.98058011670866	4	"gross"	"steil"	"karbonatisch"	"Steiles, grosses Fliessgewässer der montanen, karbonatischen Alpennordflanke"	32331	"nival alpin"	18	19767580.79	0.06	0.03	0.09	0.01	0.02	0.15	0	0	0	0	0	0.287	0.287	0.287	0	0	0	0	0	0	0	0	0	0	0	44.123551	4.7361	14.019561	48.859651	63.03	0	1768.966498	NA	NA	NA	NA	NA	1	1	0.762060714285714	1	120	1	NA	0	NA	""	"kein"	"0%"	"keine"	"kein"	"kein"	"kein"	"kein"	"kein"	"kein"	""	0	6
