"SiteId"	"SampId"	"MonitoringProgram"	"Day"	"Month"	"Year"	"Station.nb."	"Watercourse"	"Locality"	"Canton"	"X"	"Y"	"Altitude"	"Sampling.window"	"IBCH.index"	"SPEAR.index"	"Latitude"	"Longitude"	"Occurrence.Erpobdellidae"	"Occurrence.Haemopidae"	"Occurrence.Hirudinidae"	"Occurrence.Glossiphoniidae"	"Occurrence.Piscicolidae"	"Occurrence.Haplotaxidae"	"Occurrence.Lumbriculidae"	"Occurrence.Lumbricidae"	"Occurrence.Naididae"	"Occurrence.Tubificidae"	"Occurrence.Prostigmata"	"Occurrence.Branchiopoda"	"Occurrence.Collembola"	"Occurrence.Chrysomelidae"	"Occurrence.Curculionidae"	"Occurrence.Dryopidae"	"Occurrence.Dytiscidae"	"Occurrence.Elmidae"	"Occurrence.Gyrinidae"	"Occurrence.Haliplidae"	"Occurrence.Hydraenidae"	"Occurrence.Hydrophilidae"	"Occurrence.Hydroscaphidae"	"Occurrence.Hygrobiidae"	"Occurrence.Psephenidae"	"Occurrence.Scirtidae"	"Occurrence.Staphylinidae"	"Occurrence.Anthomyiidae"	"Occurrence.Athericidae"	"Occurrence.Blephariceridae"	"Occurrence.Ceratopogonidae"	"Occurrence.Chaoboridae"	"Occurrence.Chironomidae"	"Occurrence.Culicidae"	"Occurrence.Cylindrotomidae"	"Occurrence.Dixidae"	"Occurrence.Dolichopodidae"	"Occurrence.Empididae"	"Occurrence.Ephydridae"	"Occurrence.Limoniidae"	"Occurrence.Muscidae"	"Occurrence.Pediciidae"	"Occurrence.Psychodidae"	"Occurrence.Ptychopteridae"	"Occurrence.Rhagionidae"	"Occurrence.Scathophagidae"	"Occurrence.Sciomyzidae"	"Occurrence.Simuliidae"	"Occurrence.Stratiomyidae"	"Occurrence.Syrphidae"	"Occurrence.Tabanidae"	"Occurrence.Thaumaleidae"	"Occurrence.Tipulidae"	"Occurrence.Ameletidae"	"Occurrence.Baetidae"	"Occurrence.Caenidae"	"Occurrence.Ephemerellidae"	"Occurrence.Ephemeridae"	"Occurrence.Heptageniidae"	"Occurrence.Leptophlebiidae"	"Occurrence.Potamanthidae"	"Occurrence.Siphlonuridae"	"Occurrence.Hymenoptera"	"Occurrence.Pyralidae"	"Occurrence.Sialidae"	"Occurrence.Osmylidae"	"Occurrence.Sisyridae"	"Occurrence.Aeshnidae"	"Occurrence.Calopterygidae"	"Occurrence.Coenagrionidae"	"Occurrence.Cordulegastridae"	"Occurrence.Corduliidae"	"Occurrence.Gomphidae"	"Occurrence.Lestidae"	"Occurrence.Libellulidae"	"Occurrence.Platycnemididae"	"Occurrence.Capniidae"	"Occurrence.Chloroperlidae"	"Occurrence.Leuctridae"	"Occurrence.Nemouridae"	"Occurrence.Perlidae"	"Occurrence.Perlodidae"	"Occurrence.Taeniopterygidae"	"Occurrence.Beraeidae"	"Occurrence.Brachycentridae"	"Occurrence.Ecnomidae"	"Occurrence.Glossosomatidae"	"Occurrence.Goeridae"	"Occurrence.Helicopsychidae"	"Occurrence.Hydropsychidae"	"Occurrence.Hydroptilidae"	"Occurrence.Lepidostomatidae"	"Occurrence.Leptoceridae"	"Occurrence.Limnephilidae"	"Occurrence.Molannidae"	"Occurrence.Odontoceridae"	"Occurrence.Philopotamidae"	"Occurrence.Phryganeidae"	"Occurrence.Polycentropodidae"	"Occurrence.Psychomyiidae"	"Occurrence.Ptilocolepidae"	"Occurrence.Rhyacophilidae"	"Occurrence.Sericostomatidae"	"Occurrence.Corophiidae"	"Occurrence.Gammaridae"	"Occurrence.Niphargidae"	"Occurrence.Astacidae"	"Occurrence.Cambaridae"	"Occurrence.Asellidae"	"Occurrence.Mysidae"	"Occurrence.Bryozoa"	"Occurrence.Cnidaria"	"Occurrence.Unionidae"	"Occurrence.Corbiculidae"	"Occurrence.Dreissenidae"	"Occurrence.Sphaeriidae"	"Occurrence.Valvatidae"	"Occurrence.Bithyniidae"	"Occurrence.Hydrobiidae"	"Occurrence.Neritidae"	"Occurrence.Acroloxidae"	"Occurrence.Lymnaeidae"	"Occurrence.Physidae"	"Occurrence.Planorbidae"	"Occurrence.Nematoda"	"Occurrence.Dendrocoelidae"	"Occurrence.Dugesiidae"	"Occurrence.Planariidae"	"Occurrence.group.Hemiptera"	"Occurrence.group.Lepidoptera"	"Occurrence.group.Nematomorpha"	"Occurrence.group.Porifera"
"CSCF_44_1560_GE"	"CSCF_44_1560_GE_2010-03-04"	"Other programs"	4	3	2010	"44_1560_GE"	"La Lissole"	"La Lissole, amont busage"	"Genève"	496509	112735	425	1	6	10.6	46.1581415153056	6.09887702669999	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
"CSCF_43_50_GE"	"CSCF_43_50_GE_2010-03-09"	"Other programs"	9	3	2010	"43_50_GE"	"Le Voiret"	"Le Voiret, embouchure"	"Genève"	497899	115255	385	1	5	6.2	46.1810190360453	6.1163183487817	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
"CSCF_45_2100_GE"	"CSCF_45_2100_GE_2010-03-09"	"Other programs"	9	3	2010	"45_2100_GE"	"L'Aire"	"L'Aire, pont du Gué"	"Genève"	498259	115730	380	1	10	10.8	46.1853457780604	6.12087654875128	1	0	0	1	0	0	NA	NA	NA	NA	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0
"CSCF_30_3350_GE"	"CSCF_30_3350_GE_2010-03-01"	"Other programs"	1	3	2010	"30_3350_GE"	"La Drize"	"La Drize, Rivolette"	"Genève"	499985	113660	410	1	14	15.5	46.1669860380094	6.1436700310494	0	0	0	0	0	0	NA	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0
"CSCF_45_4550_GE"	"CSCF_45_4550_GE_2010-03-09"	"Other programs"	9	3	2010	"45_4550_GE"	"L'Aire"	"L'Aire, aval ZIPLO"	"Genève"	496899	114685	390	1	15	11.3	46.175740024754	6.10349540347845	1	0	0	0	0	0	NA	NA	NA	NA	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0
"CSCF_45_5450_GE"	"CSCF_45_5450_GE_2010-03-09"	"Other programs"	9	3	2010	"45_5450_GE"	"L'Aire"	"L'Aire, pont des Marais"	"Genève"	496364	114435	395	1	16	16.4	46.1734093890478	6.0966239819584	1	0	0	1	0	0	NA	NA	NA	NA	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0
"CSCF_32_200_GE"	"CSCF_32_200_GE_2010-03-01"	"Other programs"	1	3	2010	"32_200_GE"	"Ruisseau des Marais"	"Ruisseau des Marais, Bellavista"	"Genève"	499999	113840	408	1	7	11.9	46.1686070900799	6.14381281719229	0	0	0	1	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0
"CSCF_45_8550_GE"	"CSCF_45_8550_GE_2010-03-04"	"Other programs"	4	3	2010	"45_8550_GE"	"L'Aire"	"L'Aire, pont de Certoux"	"Genève"	494774	112290	420	1	15	17.8	46.1538704606982	6.0765208832816	1	0	0	0	0	0	NA	NA	NA	NA	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0
"CSCF_85_1700_GE"	"CSCF_85_1700_GE_2010-03-30"	"Other programs"	30	3	2010	"85_1700_GE"	"Ruisseau des Charmilles"	"Ruisseau des Charmilles, aval ch. de Brive"	"Genève"	488469	116280	395	1	7	16.6	46.1887427099364	5.993972463881	1	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
"CSCF_35_300_GE"	"CSCF_35_300_GE_2010-03-01"	"Other programs"	1	3	2010	"35_300_GE"	"Nant de Bistoquette"	"Nant de Bistoquette, Pré-de-l'oeuf"	"Genève"	499529	113550	415	1	9	20.7	46.1659288317169	6.13779058408001	1	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0
