"Occurrence.taxa"	"Prevalence"	"Taxonomic.level"	"Missing.values"
"Occurrence.Chironomidae"	0.992829204693611	"family"	0
"Occurrence.Baetidae"	0.972620599739244	"family"	0
"Occurrence.Simuliidae"	0.918487120965113	"family"	1
"Occurrence.Limoniidae"	0.858401305057096	"family"	3
"Occurrence.Limnephilidae"	0.827249022164276	"family"	0
"Occurrence.Rhyacophilidae"	0.800521512385919	"family"	0
"Occurrence.Elmidae"	0.768503423540919	"family"	1
"Occurrence.Gammaridae"	0.74348109517601	"family"	0
"Occurrence.Heptageniidae"	0.714471968709257	"family"	0
"Occurrence.Nemouridae"	0.696544980443285	"family"	0
"Occurrence.Empididae"	0.688642297650131	"family"	4
"Occurrence.Hydropsychidae"	0.686766623207301	"family"	0
"Occurrence.Leuctridae"	0.670795306388527	"family"	0
"Occurrence.Ceratopogonidae"	0.602350636630754	"family"	5
"Occurrence.Prostigmata"	0.588758448950551	"order"	257
"Occurrence.Psychodidae"	0.514854717597127	"family"	5
"Occurrence.Leptophlebiidae"	0.452737940026076	"family"	0
"Occurrence.Sphaeriidae"	0.444915254237288	"family"	0
"Occurrence.Taeniopterygidae"	0.443104010433648	"family"	1
"Occurrence.Perlodidae"	0.430573663624511	"family"	0
"Occurrence.Lumbricidae"	0.377016129032258	"family"	2572
"Occurrence.Athericidae"	0.35609278013721	"family"	7
"Occurrence.Psychomyiidae"	0.341049885881969	"family"	1
"Occurrence.Nematoda"	0.340612777053455	"phylum"	0
"Occurrence.Hydraenidae"	0.319830120875531	"family"	7
"Occurrence.Planariidae"	0.317392728463806	"family"	15
"Occurrence.Sericostomatidae"	0.280638852672751	"family"	0
"Occurrence.Tipulidae"	0.267232930414897	"family"	7
"Occurrence.Polycentropodidae"	0.259537006847082	"family"	1
"Occurrence.Odontoceridae"	0.244784876140808	"family"	0
"Occurrence.Lumbriculidae"	0.231155778894472	"family"	2670
"Occurrence.Dugesiidae"	0.223386832623649	"family"	15
"Occurrence.Lymnaeidae"	0.21715030974894	"family"	1
"Occurrence.Erpobdellidae"	0.213842637936663	"family"	5
"Occurrence.Scirtidae"	0.198168737737083	"family"	10
"Occurrence.Ephemerellidae"	0.188396349413299	"family"	0
"Occurrence.Asellidae"	0.186766623207301	"family"	0
"Occurrence.Ephemeridae"	0.177314211212516	"family"	0
"Occurrence.Chloroperlidae"	0.172750977835724	"family"	0
"Occurrence.Stratiomyidae"	0.169391759319817	"family"	10
"Occurrence.Dytiscidae"	0.169281045751634	"family"	8
"Occurrence.Hydroptilidae"	0.157156830779263	"family"	1
"Occurrence.Hydrobiidae"	0.142112125162973	"family"	0
"Occurrence.Perlidae"	0.141506358004565	"family"	1
"Occurrence.Planorbidae"	0.138897945875448	"family"	1
"Occurrence.Glossosomatidae"	0.11864406779661	"family"	0
"Occurrence.Blephariceridae"	0.113435763321347	"family"	9
"Occurrence.Glossiphoniidae"	0.112597911227154	"family"	4
"Occurrence.Capniidae"	0.107235984354628	"family"	0
"Occurrence.Tubificidae"	0.100250626566416	"family"	2669
"Occurrence.Goeridae"	0.0958279009126467	"family"	0
"Occurrence.Philopotamidae"	0.0896641669383763	"family"	1
"Occurrence.Dixidae"	0.0873119686069326	"family"	10
"Occurrence.Gyrinidae"	0.0863027133050016	"family"	9
"Occurrence.Leptoceridae"	0.0776002608412129	"family"	1
"Occurrence.Caenidae"	0.0775749674054759	"family"	0
"Occurrence.Calopterygidae"	0.077124183006536	"family"	8
"Occurrence.Tabanidae"	0.0761935905820798	"family"	10
"Occurrence.Pediciidae"	0.0705421293272371	"family"	6
"Occurrence.Cordulegastridae"	0.0693036940176528	"family"	9
"Occurrence.Anthomyiidae"	0.0647482014388489	"family"	10
