"Occurrence.taxa"	"Prevalence"	"Taxonomic.level"	"Missing.values"
"Occurrence.Chironomidae"	0.994110718492344	"family"	0
"Occurrence.Limoniidae"	0.917550058892815	"family"	0
"Occurrence.Oligochaeta"	0.91283863368669	"class"	0
"Occurrence.Simuliidae"	0.909305064782097	"family"	0
"Occurrence.Baetis_alpinus"	0.721563981042654	"species"	5
"Occurrence.Baetis_rhodani"	0.694935217903416	"species"	0
"Occurrence.Empididae"	0.693757361601885	"family"	0
"Occurrence.Ceratopogonidae"	0.599528857479388	"family"	0
"Occurrence.Psychodidae"	0.579505300353357	"family"	0
"Occurrence.Elmidae"	0.570082449941107	"family"	0
"Occurrence.Nemoura_mortoni"	0.528599605522682	"species"	342
"Occurrence.Protonemura_lateralis"	0.51123595505618	"species"	315
"Occurrence.Baetis_muticus"	0.50709219858156	"species"	3
"Occurrence.Drusus_discolor"	0.501730103806228	"species"	560
"Occurrence.Rhyacophila_tristis"	0.486542443064182	"species"	366
"Occurrence.Planariidae"	0.484098939929329	"family"	0
"Occurrence.Gammaridae"	0.465253239104829	"family"	0
"Occurrence.Athericidae"	0.462897526501767	"family"	0
"Occurrence.Prostigmata"	0.441696113074205	"order"	0
"Occurrence.Leuctra_braueri"	0.425925925925926	"species"	525
"Occurrence.Hydraenidae"	0.374558303886926	"family"	0
"Occurrence.Ecdyonurus_helveticus"	0.348251748251748	"species"	134
"Occurrence.Nemoura_minima"	0.347389558232932	"species"	351
"Occurrence.Nematoda"	0.336866902237927	"phylum"	0
"Occurrence.Sericostoma"	0.323353293413174	"genus"	14
"Occurrence.Habroleptoides_confusa"	0.308962264150943	"species"	1
"Occurrence.Scirtidae"	0.288574793875147	"family"	0
"Occurrence.Leuctra_nigra"	0.281853281853282	"species"	590
"Occurrence.Brachyptera_risi"	0.277251184834123	"species"	5
"Occurrence.Blephariceridae"	0.270906949352179	"family"	0
"Occurrence.Sphaeriidae"	0.263839811542992	"family"	0
"Occurrence.Tipulidae"	0.255594817432273	"family"	0
"Occurrence.Odontocerum_albicorne"	0.25206124852768	"species"	0
"Occurrence.Drusus_annulatus"	0.24	"species"	624
"Occurrence.Cryptothrix_nebulicola"	0.235294117647059	"species"	628
"Occurrence.Dixidae"	0.23321554770318	"family"	0
"Occurrence.Rhithrogena_loyolaea"	0.214511041009464	"species"	215
"Occurrence.Metanoea_flavipennis"	0.204651162790698	"species"	634
"Occurrence.Protonemura_brevistyla"	0.197149643705463	"species"	428
"Occurrence.Drusus_biguttatus"	0.197044334975369	"species"	646
"Occurrence.Leuctra_major"	0.190677966101695	"species"	613
"Occurrence.Ecdyonurus_venosus"	0.18910741301059	"species"	188
"Occurrence.Stratiomyidae"	0.181389870435807	"family"	0
"Occurrence.Habrophlebia_lauta"	0.179245283018868	"species"	1
"Occurrence.Metanoea_rhaetica"	0.172413793103448	"species"	646
"Occurrence.Epeorus_alpicola"	0.170035671819263	"species"	8
"Occurrence.Rhithrogena_puthzi"	0.165402124430956	"species"	190
"Occurrence.Epeorus_assimilis"	0.164874551971326	"species"	12
"Occurrence.Philopotamus_ludificatus"	0.162901307966706	"species"	8
"Occurrence.Protonemura_intricata"	0.160997732426304	"species"	408
"Occurrence.Dugesiidae"	0.156654888103651	"family"	0
"Occurrence.Hydropsyche_siltalai"	0.152482269503546	"species"	285
"Occurrence.Centroptilum_luteolum"	0.150765606595995	"species"	0
"Occurrence.Rhithrogena_picteti"	0.150316455696203	"species"	217
"Occurrence.Rhithrogena_alpestris"	0.148377125193199	"species"	202
"Occurrence.Rhyacophila_hirticornis"	0.146981627296588	"species"	468
"Occurrence.Protonemura_nimborum"	0.144766146993318	"species"	400
"Occurrence.Ephemera_danica"	0.141342756183746	"species"	0
"Occurrence.Baetis_lutheri"	0.139150943396226	"species"	1
"Occurrence.Ecdyonurus_picteti"	0.137980085348506	"species"	146
"Occurrence.Dytiscidae"	0.131919905771496	"family"	0
"Occurrence.Paraleptophlebia_submarginata"	0.130742049469965	"species"	0
"Occurrence.Potamophylax_cingulatus"	0.128865979381443	"species"	655
"Occurrence.Chloroperla_susemicheli"	0.122071516646116	"species"	38
"Occurrence.Ecclisopteryx_madida"	0.120603015075377	"species"	650
"Occurrence.Capnioneura_nemuroides"	0.11660777385159	"species"	0
