Taxon_IBCH_2010 (ne plus utiliser);Taxon_IBCH_2019 (actuel);Diff‚rence 2010 vs 2019 (pour la notation)
PORIFERA;PORIFERA;-
CNIDARIA;CNIDARIA;-
BRYOZOA;BRYOZOA;-
Dendrocoelidae;Dendrocoelidae;-
Dugesiidae;Dugesiidae;-
Planariidae;Planariidae;-
Nemathelminthes;Nemathelminthes;-
Erpobdellidae;Erpobdellidae;-
Glossiphoniidae;Glossiphoniidae;-
Hirudidae (Tachet);Hirudidae (Tachet);-
Piscicolidae;Piscicolidae;-
Oligochaeta;Oligochaeta;-
Acroloxidae;Acroloxidae;-
Ancylidae (Tachet);Ancylidae (Tachet);-
Bithyniidae;Bithyniidae;-
Ferrissiidae (Tachet);Ferrissiidae (Tachet);-
Hydrobiidae;Hydrobiidae;-
Lymnaeidae;Lymnaeidae;-
Neritidae;Neritidae;-
Physidae;Physidae;-
Planorbidae;Planorbidae;-
Valvatidae;Valvatidae;-
Viviparidae;Viviparidae;-
Corbiculidae;Corbiculidae*;Diff‚rent
Dreissenidae;Dreissenidae*;Diff‚rent
Sphaeriidae;Sphaeriidae;-
Unionidae;Unionidae;-
Hydracarina;Hydracarina;-
Branchiopoda;Branchiopoda;-
Corophiidae;Corophiidae*;Diff‚rent
Gammaridae;Gammaridae;-
Niphargidae;Niphargidae;-
Asellidae;Asellidae;-
Janiridae;Janiridae*;Diff‚rent
Mysidae;Mysidae*;Diff‚rent
Astacidae;Astacidae;-
Cambaridae;Cambaridae*;Diff‚rent
Ameletidae;Ameletidae;-
Baetidae;Baetidae;-
Caenidae;Caenidae;-
Ephemerellidae;Ephemerellidae;-
Ephemeridae;Ephemeridae;-
Heptageniidae;Heptageniidae;-
Leptophlebiidae;Leptophlebiidae;-
Oligoneuriidae;Oligoneuriidae;-
Polymitarcyidae;Polymitarcyidae;-
Potamanthidae;Potamanthidae;-
Siphlonuridae;Siphlonuridae;-
Aeshnidae;Aeshnidae;-
Calopterygidae;Calopterygidae;-
Coenagrionidae;Coenagrionidae;-
Cordulegasteridae;Cordulegastridae;Diff‚rent
Corduliidae;Corduliidae;-
Gomphidae;Gomphidae;-
Lestidae;Lestidae;-
Libellulidae;Libellulidae;-
Platycnemididae;Platycnemididae;-
Capniidae;Capniidae;-
Chloroperlidae;Chloroperlidae;-
Leuctridae;Leuctridae;-
Nemouridae;Nemouridae;-
Perlidae;Perlidae;-
Perlodidae;Perlodidae;-
Taeniopterygidae;Taeniopterygidae;-
Aphelocheiridae;Aphelocheiridae;-
Corixidae;Corixidae;-
Gerridae;Gerridae;-
Hebridae;Hebridae;-
Hydrometridae;Hydrometridae;-
Mesoveliidae;Mesoveliidae;-
Naucoridae;Naucoridae;-
Nepidae;Nepidae;-
Notonectidae;Notonectidae;-
Pleidae;Pleidae;-
Veliidae;Veliidae;-
Sialidae;Sialidae;-
Osmylidae;Osmylidae;-
Sisyridae;Sisyridae;-
Curculionidae;Curculionidae;-
Chrysomelidae;Chrysomelidae;-
Dryopidae;Dryopidae;-
Dytiscidae;Dytiscidae;-
Elmidae;Elmidae;-
Gyrinidae;Gyrinidae;-
Haliplidae;Haliplidae;-
Helophoridae;Helophoridae (Tachet);Diff‚rent
Hydraenidae;Hydraenidae;-
Hydrochidae;Hydrochidae (Tachet);Diff‚rent
Hydrophilidae;Hydrophilidae;-
Hydroscaphidae;Hydroscaphidae;-
Hygrobiidae;Hygrobiidae;-
Noteridae;Noteridae;-
Psephenidae;Psephenidae;-
Scirtidae (=Helodidae);Scirtidae;Diff‚rent
Spercheidae;Spercheidae (Tachet);Diff‚rent
Hymenoptera;Hymenoptera;-
Apataniidae;Apataniidae;-
Beraeidae;Beraeidae;-
Brachycentridae;Brachycentridae;-
Ecnomidae;Ecnomidae;-
Glossosomatidae;Glossosomatidae;-
Goeridae;Goeridae;-
Helicopsychidae;Helicopsychidae;-
Hydropsychidae;Hydropsychidae;-
Hydroptilidae;Hydroptilidae;-
Lepidostomatidae;Lepidostomatidae;-
Leptoceridae;Leptoceridae;-
Limnephilidae;Limnephilidae;-
Molannidae;Molannidae;-
Odontoceridae;Odontoceridae;-
Philopotamidae;Philopotamidae;-
Phryganeidae;Phryganeidae;-
Polycentropodidae;Polycentropodidae;-
Psychomyiidae;Psychomyiidae;-
Ptilocolepidae;Ptilocolepidae;-
Rhyacophilidae;Rhyacophilidae;-
Sericostomatidae;Sericostomatidae;-
Lepidoptera;Lepidoptera;-
Anthomyiidae/Muscidae;Anthomyiidae/Muscidae;-
Athericidae;Athericidae;-
Blephariceridae;Blephariceridae;-
Ceratopogonidae;Ceratopogonidae;-
Chaoboridae;Chaoboridae;-
Chironomidae;Chironomidae;-
Culicidae;Culicidae;-
Cylindrotomidae;Cylindrotomidae;-
Dixidae;Dixidae;-
Dolichopodidae;Dolichopodidae;-
Empididae;Empididae;-
Ephydridae;Ephydridae;-
Limoniidae/Pedicidae;Limoniidae/Pediciidae;Diff‚rent
Psychodidae;Psychodidae;-
Ptychopteridae;Ptychopteridae;-
Rhagionidae;Rhagionidae;-
Scatophagidae;Scathophagidae;Diff‚rent
Sciomyzidae;Sciomyzidae;-
Simuliidae;Simuliidae;-
Stratiomyidae;Stratiomyidae;-
Syrphidae;Syrphidae;-
Tabanidae;Tabanidae;-
Thaumaleidae;Thaumaleidae;-
Tipulidae;Tipulidae;-
