"SiteId"	"SampId"	"MonitoringProgram"	"Day"	"Month"	"Year"	"Station.nb."	"Watercourse"	"Locality"	"Canton"	"X"	"Y"	"Altitude"	"Sampling.window"	"IBCH.index"	"SPEAR.index"	"Latitude"	"Longitude"
"CSCF_44_1560_GE"	"CSCF_44_1560_GE_2010-03-04"	"Other programs"	4	3	2010	"44_1560_GE"	"La Lissole"	"La Lissole, amont busage"	"Genève"	496509	112735	425	1	6	10.6	46.1581415153056	6.09887702669999
"CSCF_43_50_GE"	"CSCF_43_50_GE_2010-03-09"	"Other programs"	9	3	2010	"43_50_GE"	"Le Voiret"	"Le Voiret, embouchure"	"Genève"	497899	115255	385	1	5	6.2	46.1810190360453	6.1163183487817
"CSCF_45_2100_GE"	"CSCF_45_2100_GE_2010-03-09"	"Other programs"	9	3	2010	"45_2100_GE"	"L'Aire"	"L'Aire, pont du Gué"	"Genève"	498259	115730	380	1	10	10.8	46.1853457780604	6.12087654875128
"CSCF_30_3350_GE"	"CSCF_30_3350_GE_2010-03-01"	"Other programs"	1	3	2010	"30_3350_GE"	"La Drize"	"La Drize, Rivolette"	"Genève"	499985	113660	410	1	14	15.5	46.1669860380094	6.1436700310494
"CSCF_45_4550_GE"	"CSCF_45_4550_GE_2010-03-09"	"Other programs"	9	3	2010	"45_4550_GE"	"L'Aire"	"L'Aire, aval ZIPLO"	"Genève"	496899	114685	390	1	15	11.3	46.175740024754	6.10349540347845
"CSCF_45_5450_GE"	"CSCF_45_5450_GE_2010-03-09"	"Other programs"	9	3	2010	"45_5450_GE"	"L'Aire"	"L'Aire, pont des Marais"	"Genève"	496364	114435	395	1	16	16.4	46.1734093890478	6.0966239819584
"CSCF_32_200_GE"	"CSCF_32_200_GE_2010-03-01"	"Other programs"	1	3	2010	"32_200_GE"	"Ruisseau des Marais"	"Ruisseau des Marais, Bellavista"	"Genève"	499999	113840	408	1	7	11.9	46.1686070900799	6.14381281719229
"CSCF_45_8550_GE"	"CSCF_45_8550_GE_2010-03-04"	"Other programs"	4	3	2010	"45_8550_GE"	"L'Aire"	"L'Aire, pont de Certoux"	"Genève"	494774	112290	420	1	15	17.8	46.1538704606982	6.0765208832816
"CSCF_85_1700_GE"	"CSCF_85_1700_GE_2010-03-30"	"Other programs"	30	3	2010	"85_1700_GE"	"Ruisseau des Charmilles"	"Ruisseau des Charmilles, aval ch. de Brive"	"Genève"	488469	116280	395	1	7	16.6	46.1887427099364	5.993972463881
"CSCF_35_300_GE"	"CSCF_35_300_GE_2010-03-01"	"Other programs"	1	3	2010	"35_300_GE"	"Nant de Bistoquette"	"Nant de Bistoquette, Pré-de-l'oeuf"	"Genève"	499529	113550	415	1	9	20.7	46.1659288317169	6.13779058408001
"CSCF_959_50_GE"	"CSCF_959_50_GE_2010-03-01"	"Other programs"	1	3	2010	"959_50_GE"	"La Clef"	"La Clef, amont Tate (F-74)"	"Genève"	499729	111190	470	1	16	26.4	46.1447321052932	6.14088481547003
"CSCF_32_3000_GE"	"CSCF_32_3000_GE_2010-03-04"	"Other programs"	4	3	2010	"32_3000_GE"	"Ruisseau des Marais"	"Ruisseau des Marais, L'Hôpital (F-74)"	"Genève"	501349	112125	455	1	15	39.4	46.1533808083	6.161650853676
"CSCF_45_4900_GE"	"CSCF_45_4900_GE_2010-03-09"	"Other programs"	9	3	2010	"45_4900_GE"	"L'Aire"	"L'Aire, amont Centenaire"	"Genève"	496639	114785	392	1	16	11.5	46.17659960976	6.10010703096754
"CSCF_30_1750_GE"	"CSCF_30_1750_GE_2010-03-01"	"Other programs"	1	3	2010	"30_1750_GE"	"La Drize"	"La Drize, Grange-Collomb"	"Genève"	499269	114600	395	1	9	13.2	46.1753340165299	6.13419893339822
"CSCF_30_6450_GE"	"CSCF_30_6450_GE_2010-03-01"	"Other programs"	1	3	2010	"30_6450_GE"	"La Drize"	"La Drize, Evordes"	"Genève"	500049	111665	458	1	15	20.7	46.1490519130195	6.14492429419973
"CSCF_45_7400_GE"	"CSCF_45_7400_GE_2010-03-09"	"Other programs"	9	3	2010	"45_7400_GE"	"L'Aire"	"L'Aire, aval Lully"	"Genève"	494764	113430	405	1	13	24.7	46.1641222450601	6.07613528845812
"CSCF_41_2350_GE"	"CSCF_41_2350_GE_2010-03-04"	"Other programs"	4	3	2010	"41_2350_GE"	"L'Arande"	"L'Arande, La Cantine (CH/F)"	"Genève"	497059	111160	465	1	14	11	46.144059856045	6.10634182900399
"CSCF_42_560_GE"	"CSCF_42_560_GE_2010-03-04"	"Other programs"	4	3	2010	"42_560_GE"	"Le Maraîchet"	"Le Maraîchet, rte de Gratillet"	"Genève"	496674	111985	460	1	6	0	46.151421175016	6.10117808412235
"CSCF_29_50_GE"	"CSCF_29_50_GE_2010-03-01"	"Other programs"	1	3	2010	"29_50_GE"	"Ruisseau d'Archamps"	"Ruisseau d'Archamps, amont Clef (CH/F)"	"Genève"	499689	111190	470	1	13	21.3	46.1447261545113	6.14036721494195
"CSCF_S201_AG"	"CSCF_S201_AG_2011-03-10"	"Other programs"	10	3	2011	"S201_AG"	"Violenbach"	"Violenbach, Olsberg"	"Argovie"	624140	263906	330	1	12	35.4	47.5254462722378	7.75916750763743
"CSCF_S202_AG"	"CSCF_S202_AG_2011-03-09"	"Other programs"	9	3	2011	"S202_AG"	"Magdenerbach"	"Magdenerbach, Rheinfelden"	"Argovie"	627255	265390	306	1	9	27.4	47.5386711642997	7.80061868861403
"CSCF_S204_AG"	"CSCF_S204_AG_2011-03-09"	"Other programs"	9	3	2011	"S204_AG"	"Maispracherbach"	"Maispracherbach, Magden"	"Argovie"	629330	263925	344	1	11	29.2	47.5254060649872	7.8280804564771
"CSCF_S205_AG"	"CSCF_S205_AG_2011-03-11"	"Other programs"	11	3	2011	"S205_AG"	"Möhlinbach"	"Möhlinbach, Möhlin"	"Argovie"	630025	269940	282	1	6	19.6	47.5794713411931	7.83771433699198
"CSCF_S207_AG"	"CSCF_S207_AG_2011-03-11"	"Other programs"	11	3	2011	"S207_AG"	"Möhlinbach"	"Möhlinbach, Zuzgen"	"Argovie"	634044	264617	360	1	10	41.2	47.5314024440622	7.89072452883497
"CSCF_S291_AG"	"CSCF_S291_AG_2011-03-23"	"Other programs"	23	3	2011	"S291_AG"	"Wyna"	"Wyna, Gränichen"	"Argovie"	649583	246124	405	1	9	37.1	47.364092346582	8.09501409215091
"CSCF_S292_AG"	"CSCF_S292_AG_2011-03-23"	"Other programs"	23	3	2011	"S292_AG"	"Wyna"	"Wyna, Teufenthal"	"Argovie"	650775	242610	440	1	9	28.4	47.3323966055362	8.11039496397519
"CSCF_S293_AG"	"CSCF_S293_AG_2011-03-23"	"Other programs"	23	3	2011	"S293_AG"	"Dorfbach"	"Dorfbach, Dürrenäsch"	"Argovie"	653170	241510	492	1	8	24.6	47.3223144438477	8.14194905034066
