Phylum	Class	Order	Family	Genus	Species
Annelida	Hirudinea				
Annelida	Hirudinea	Arhynchobdellida	Erpobdellidae		
Annelida	Hirudinea	Arhynchobdellida	Erpobdellidae	Dina	
Annelida	Hirudinea	Arhynchobdellida	Erpobdellidae	Dina	lineata
Annelida	Hirudinea	Arhynchobdellida	Erpobdellidae	Dina	punctata
Annelida	Hirudinea	Arhynchobdellida	Erpobdellidae	Erpobdella	
Annelida	Hirudinea	Arhynchobdellida	Erpobdellidae	Erpobdella	octoculata
Annelida	Hirudinea	Arhynchobdellida	Haemopidae	Haemopis	sanguisuga
Annelida	Hirudinea	Arhynchobdellida	Hirudinidae		
Annelida	Hirudinea	Rhynchobdellida	Glossiphoniidae		
Annelida	Hirudinea	Rhynchobdellida	Glossiphoniidae	Glossiphonia	
Annelida	Hirudinea	Rhynchobdellida	Glossiphoniidae	Glossiphonia	complanata
Annelida	Hirudinea	Rhynchobdellida	Glossiphoniidae	Helobdella	
Annelida	Hirudinea	Rhynchobdellida	Glossiphoniidae	Helobdella	stagnalis
Annelida	Hirudinea	Rhynchobdellida	Glossiphoniidae	Hemiclepsis	marginata
Annelida	Hirudinea	Rhynchobdellida	Piscicolidae		
Annelida	Hirudinea	Rhynchobdellida	Piscicolidae	Piscicola	
Annelida	Hirudinea	Rhynchobdellida	Piscicolidae	Piscicola	geometra
Annelida	Oligochaeta				
Annelida	Oligochaeta	Haplotaxida	Haplotaxidae	Haplotaxis	gordioides
Annelida	Oligochaeta	Lumbriculida	Lumbriculidae		
Annelida	Oligochaeta	Lumbriculida	Lumbriculidae	Stylodrilus	heringianus
Annelida	Oligochaeta	Opisthopora	Lumbricidae		
Annelida	Oligochaeta	Opisthopora	Lumbricidae	Eiseniella	tetraedra
Annelida	Oligochaeta	Opisthopora	Lumbricidae	Lumbricus	
Annelida	Oligochaeta	Tubificida	Naididae		
Annelida	Oligochaeta	Tubificida	Naididae	Stylaria	lacustris
Annelida	Oligochaeta	Tubificida	Tubificidae		
Annelida	Oligochaeta	Tubificida	Tubificidae	Branchiura	sowerbyi
Arthropoda	Arachnida				
Arthropoda	Arachnida	Prostigmata			
Arthropoda	Branchiopoda				
Arthropoda	Entognatha	Collembola			
Arthropoda	Insecta	Coleoptera			
Arthropoda	Insecta	Coleoptera	Chrysomelidae		
Arthropoda	Insecta	Coleoptera	Curculionidae		
Arthropoda	Insecta	Coleoptera	Dryopidae		
Arthropoda	Insecta	Coleoptera	Dryopidae	Dryops	
Arthropoda	Insecta	Coleoptera	Dytiscidae		
Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	
Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	didymus
Arthropoda	Insecta	Coleoptera	Dytiscidae	Dytiscus	
Arthropoda	Insecta	Coleoptera	Dytiscidae	Hydroporus	palustris
Arthropoda	Insecta	Coleoptera	Dytiscidae	Hydrovatus	
Arthropoda	Insecta	Coleoptera	Dytiscidae	Ilybius	
Arthropoda	Insecta	Coleoptera	Dytiscidae	Laccophilus	
Arthropoda	Insecta	Coleoptera	Dytiscidae	Laccophilus	hyalinus
Arthropoda	Insecta	Coleoptera	Dytiscidae	Nebrioporus	
Arthropoda	Insecta	Coleoptera	Dytiscidae	Nebrioporus	elegans
Arthropoda	Insecta	Coleoptera	Dytiscidae	Oreodytes	
Arthropoda	Insecta	Coleoptera	Dytiscidae	Oreodytes	sanmarkii
Arthropoda	Insecta	Coleoptera	Dytiscidae	Platambus	
Arthropoda	Insecta	Coleoptera	Dytiscidae	Platambus	maculatus
Arthropoda	Insecta	Coleoptera	Dytiscidae	Stictotarsus	duodecimpustulatus
Arthropoda	Insecta	Coleoptera	Elmidae		
Arthropoda	Insecta	Coleoptera	Elmidae	Elmis	
Arthropoda	Insecta	Coleoptera	Elmidae	Elmis	aenea
Arthropoda	Insecta	Coleoptera	Elmidae	Elmis	maugetii
Arthropoda	Insecta	Coleoptera	Elmidae	Esolus	
Arthropoda	Insecta	Coleoptera	Elmidae	Esolus	parallelepipedus
Arthropoda	Insecta	Coleoptera	Elmidae	Limnius	
Arthropoda	Insecta	Coleoptera	Elmidae	Limnius	volckmari
Arthropoda	Insecta	Coleoptera	Elmidae	Normandia	sodalis
Arthropoda	Insecta	Coleoptera	Elmidae	Oulimnius	
Arthropoda	Insecta	Coleoptera	Elmidae	Oulimnius	tuberculatus
Arthropoda	Insecta	Coleoptera	Elmidae	Potamophilus	
Arthropoda	Insecta	Coleoptera	Elmidae	Riolus	
Arthropoda	Insecta	Coleoptera	Elmidae	Riolus	cupreus
Arthropoda	Insecta	Coleoptera	Elmidae	Riolus	subviolaceus
Arthropoda	Insecta	Coleoptera	Elmidae	Stenelmis	
Arthropoda	Insecta	Coleoptera	Elmidae	Stenelmis	canaliculata
Arthropoda	Insecta	Coleoptera	Gyrinidae		
Arthropoda	Insecta	Coleoptera	Gyrinidae	Gyrinus	
Arthropoda	Insecta	Coleoptera	Gyrinidae	Orectochilus	
Arthropoda	Insecta	Coleoptera	Gyrinidae	Orectochilus	villosus
Arthropoda	Insecta	Coleoptera	Haliplidae		
Arthropoda	Insecta	Coleoptera	Haliplidae	Brychius	elevatus
Arthropoda	Insecta	Coleoptera	Haliplidae	Haliplus	
Arthropoda	Insecta	Coleoptera	Haliplidae	Haliplus	immaculatus
Arthropoda	Insecta	Coleoptera	Hydraenidae		
Arthropoda	Insecta	Coleoptera	Hydraenidae	Hydraena	
Arthropoda	Insecta	Coleoptera	Hydraenidae	Hydraena	gracilis
Arthropoda	Insecta	Coleoptera	Hydraenidae	Limnebius	
Arthropoda	Insecta	Coleoptera	Hydrophilidae		
Arthropoda	Insecta	Coleoptera	Hydrophilidae	Helophorus	
Arthropoda	Insecta	Coleoptera	Hydrophilidae	Laccobius	
Arthropoda	Insecta	Coleoptera	Hydroscaphidae		
Arthropoda	Insecta	Coleoptera	Hygrobiidae		
Arthropoda	Insecta	Coleoptera	Noteridae		
Arthropoda	Insecta	Coleoptera	Psephenidae		
Arthropoda	Insecta	Coleoptera	Scirtidae		
Arthropoda	Insecta	Coleoptera	Scirtidae	Cyphon	
Arthropoda	Insecta	Coleoptera	Scirtidae	Elodes	
Arthropoda	Insecta	Coleoptera	Scirtidae	Hydrocyphon	
Arthropoda	Insecta	Coleoptera	Scirtidae	Scirtes	
Arthropoda	Insecta	Coleoptera	Staphylinidae		
Arthropoda	Insecta	Diptera			
Arthropoda	Insecta	Diptera	Anthomyiidae		
Arthropoda	Insecta	Diptera	Athericidae		
Arthropoda	Insecta	Diptera	Athericidae	Atherix	
Arthropoda	Insecta	Diptera	Athericidae	Atherix	ibis
Arthropoda	Insecta	Diptera	Athericidae	Ibisia	marginata
Arthropoda	Insecta	Diptera	Blephariceridae		
Arthropoda	Insecta	Diptera	Blephariceridae	Hapalothrix	lugubris
Arthropoda	Insecta	Diptera	Blephariceridae	Liponeura	
Arthropoda	Insecta	Diptera	Blephariceridae	Liponeura	cinerascens
Arthropoda	Insecta	Diptera	Blephariceridae	Liponeura	cordata
Arthropoda	Insecta	Diptera	Ceratopogonidae		
Arthropoda	Insecta	Diptera	Ceratopogonidae	Bezzia	
Arthropoda	Insecta	Diptera	Chaoboridae		
Arthropoda	Insecta	Diptera	Chironomidae		
Arthropoda	Insecta	Diptera	Chironomidae	Chironomus	
Arthropoda	Insecta	Diptera	Chironomidae	Cricotopus	reversus
Arthropoda	Insecta	Diptera	Chironomidae	Prodiamesa	olivacea
Arthropoda	Insecta	Diptera	Culicidae		
Arthropoda	Insecta	Diptera	Cylindrotomidae		
Arthropoda	Insecta	Diptera	Dixidae		
Arthropoda	Insecta	Diptera	Dixidae	Dixa	
Arthropoda	Insecta	Diptera	Dolichopodidae		
Arthropoda	Insecta	Diptera	Empididae		
Arthropoda	Insecta	Diptera	Empididae	Chelifera	
Arthropoda	Insecta	Diptera	Empididae	Clinocera	
Arthropoda	Insecta	Diptera	Empididae	Hemerodromia	
Arthropoda	Insecta	Diptera	Ephydridae		
Arthropoda	Insecta	Diptera	Limoniidae		
Arthropoda	Insecta	Diptera	Limoniidae	Antocha	
Arthropoda	Insecta	Diptera	Limoniidae	Eloeophila	
Arthropoda	Insecta	Diptera	Limoniidae	Gonomyia	
Arthropoda	Insecta	Diptera	Limoniidae	Hexatoma	
Arthropoda	Insecta	Diptera	Limoniidae	Limonia	
Arthropoda	Insecta	Diptera	Limoniidae	Molophilus	
Arthropoda	Insecta	Diptera	Limoniidae	Ormosia	
Arthropoda	Insecta	Diptera	Limoniidae	Pilaria	
Arthropoda	Insecta	Diptera	Limoniidae	Pseudolimnophila	
Arthropoda	Insecta	Diptera	Limoniidae	Rhabdomastix	
Arthropoda	Insecta	Diptera	Limoniidae	Rhypholophus	
Arthropoda	Insecta	Diptera	Limoniidae	Scleroprocta	
Arthropoda	Insecta	Diptera	Muscidae		
Arthropoda	Insecta	Diptera	Muscidae	Limnophora	
Arthropoda	Insecta	Diptera	Muscidae	Lispe	
Arthropoda	Insecta	Diptera	Pediciidae		
Arthropoda	Insecta	Diptera	Pediciidae	Dicranota	
Arthropoda	Insecta	Diptera	Pediciidae	Pedicia	
Arthropoda	Insecta	Diptera	Psychodidae		
Arthropoda	Insecta	Diptera	Ptychopteridae		
Arthropoda	Insecta	Diptera	Ptychopteridae	Ptychoptera	
Arthropoda	Insecta	Diptera	Rhagionidae		
Arthropoda	Insecta	Diptera	Rhagionidae	Chrysopilus	
Arthropoda	Insecta	Diptera	Scathophagidae		
Arthropoda	Insecta	Diptera	Sciomyzidae		
Arthropoda	Insecta	Diptera	Simuliidae		
Arthropoda	Insecta	Diptera	Simuliidae	Prosimulium	
Arthropoda	Insecta	Diptera	Simuliidae	Simulium	
Arthropoda	Insecta	Diptera	Stratiomyidae		
Arthropoda	Insecta	Diptera	Stratiomyidae	Beris	
Arthropoda	Insecta	Diptera	Stratiomyidae	Oxycera	
Arthropoda	Insecta	Diptera	Syrphidae		
Arthropoda	Insecta	Diptera	Tabanidae		
Arthropoda	Insecta	Diptera	Thaumaleidae		
Arthropoda	Insecta	Diptera	Thaumaleidae	Androprosopa	
Arthropoda	Insecta	Diptera	Tipulidae		
Arthropoda	Insecta	Diptera	Tipulidae	Prionocera	
Arthropoda	Insecta	Diptera	Tipulidae	Tipula	
Arthropoda	Insecta	Diptera	Tipulidae	Tipula	obscuriventris
Arthropoda	Insecta	Ephemeroptera	Ameletidae		
Arthropoda	Insecta	Ephemeroptera	Baetidae		
Arthropoda	Insecta	Ephemeroptera	Baetidae	Baetis	
Arthropoda	Insecta	Ephemeroptera	Baetidae	Baetis	alpinus
Arthropoda	Insecta	Ephemeroptera	Baetidae	Baetis	buceratus
Arthropoda	Insecta	Ephemeroptera	Baetidae	Baetis	fuscatus
Arthropoda	Insecta	Ephemeroptera	Baetidae	Baetis	liebenauae
Arthropoda	Insecta	Ephemeroptera	Baetidae	Baetis	lutheri
Arthropoda	Insecta	Ephemeroptera	Baetidae	Baetis	melanonyx
Arthropoda	Insecta	Ephemeroptera	Baetidae	Baetis	muticus
Arthropoda	Insecta	Ephemeroptera	Baetidae	Baetis	nexus
Arthropoda	Insecta	Ephemeroptera	Baetidae	Baetis	niger
Arthropoda	Insecta	Ephemeroptera	Baetidae	Baetis	nubecularis
Arthropoda	Insecta	Ephemeroptera	Baetidae	Baetis	rhodani
Arthropoda	Insecta	Ephemeroptera	Baetidae	Baetis	scambus
